Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
180,The Last Days of Disco,5/29/1998,1998,Gramercy,Drama,"$3,024,198","644,818"
181,The Sweet Hereafter,10/10/1997,1998,,Drama,"$2,918,731","622,330"
182,T-Rex: Back to the Cretaceous,10/23/1998,1998,IMAX Films,Adventure,"$2,872,271","612,424"
183,Les Boys,12/12/1997,1998,Distributor Unknown,Comedy,"$2,750,686","586,500"
184,Freeriders,10/21/1998,1998,Warren Miller Ent…,Documentary,"$2,750,064","586,367"
185,The Mighty,10/9/1998,1998,Miramax,Drama,"$2,652,246","565,510"
186,Happiness,10/16/1998,1998,Good Machine Rele…,Black Comedy,"$2,635,624","561,966"
187,Boogie Nights,10/10/1997,1998,New Line,Drama,"$2,568,855","547,730"
188,Love and Death on Long Island,3/6/1998,1998,Lionsgate,Drama,"$2,542,264","542,060"
189,A Simple Plan,12/11/1998,1998,Paramount Pictures,Thriller/Suspense,"$2,520,500","537,420"
190,Afterglow,12/26/1997,1998,Sony Pictures Cla…,Romantic Comedy,"$2,391,590","509,933"
191,Buffalo '66,6/26/1998,1998,Lionsgate,Comedy,"$2,380,606","507,591"
192,Hav Plenty,6/19/1998,1998,Miramax,Comedy,"$2,301,777","490,784"
193,Pecker,9/25/1998,1998,Fine Line,Comedy,"$2,281,761","486,516"
194,Chinese Box,4/17/1998,1998,Trimark,Drama,"$2,265,328","483,012"
195,Touch of Evil,5/21/1958,1998,October Films,Thriller/Suspense,"$2,237,659","477,112"
196,The Imposters,10/2/1998,1998,Fox Searchlight,Comedy,"$2,194,875","467,990"
197,Wilde,5/1/1998,1998,Sony Pictures Cla…,Drama,"$2,157,701","460,064"
198,Tarzan and the Lost City,4/24/1998,1998,Warner Bros.,Adventure,"$2,147,114","457,806"
199,Zero Effect,1/30/1998,1998,Sony Pictures,Comedy,"$2,080,693","443,644"
200,Two Girls and a Guy,4/24/1998,1998,Fox Searchlight,Drama,"$2,057,193","438,633"
1,Star Wars Ep. I: The Phanto…,5/19/1999,1999,20th Century Fox,Adventure,"$430,445,303","84,733,327"
2,The Sixth Sense,8/6/1999,1999,Walt Disney,Thriller/Suspense,"$276,386,495","54,406,790"
3,Toy Story 2,11/19/1999,1999,Walt Disney,Adventure,"$208,880,039","41,118,117"
4,Austin Powers: The Spy Who …,6/10/1999,1999,New Line,Comedy,"$206,040,085","40,559,071"
5,The Matrix,3/31/1999,1999,Warner Bros.,Action,"$171,383,253","33,736,860"
6,Tarzan,6/16/1999,1999,Walt Disney,Adventure,"$170,904,824","33,642,681"
7,Big Daddy,6/25/1999,1999,Sony Pictures,Comedy,"$163,479,795","32,181,062"
8,The Mummy,5/7/1999,1999,Universal,Adventure,"$155,428,655","30,596,191"
9,Runaway Bride,7/30/1999,1999,Paramount Pictures,Romantic Comedy,"$152,162,347","29,953,217"
10,The Blair Witch Project,7/14/1999,1999,Artisan,Horror,"$140,539,099","27,665,176"
11,The World is Not Enough,11/19/1999,1999,MGM,Action,"$117,877,025","23,204,138"
12,Notting Hill,5/28/1999,1999,Universal,Romantic Comedy,"$116,089,678","22,852,298"
13,Double Jeopardy,9/24/1999,1999,Paramount Pictures,Action,"$114,032,117","22,447,267"
14,Wild Wild West,6/30/1999,1999,Warner Bros.,Western,"$113,805,681","22,402,693"
15,Analyze This,3/5/1999,1999,Warner Bros.,Comedy,"$106,885,658","21,040,483"
16,The General's Daughter,6/18/1999,1999,Paramount Pictures,Drama,"$102,705,852","20,217,687"
17,American Pie,7/9/1999,1999,Universal,Comedy,"$101,800,948","20,039,556"
18,Inspector Gadget,7/23/1999,1999,Walt Disney,Adventure,"$97,387,965","19,170,859"
19,Sleepy Hollow,11/19/1999,1999,Paramount Pictures,Horror,"$92,839,722","18,275,535"
20,The Haunting,7/23/1999,1999,Dreamworks SKG,Horror,"$91,188,905","17,950,571"
21,Shakespeare in Love,12/11/1998,1999,Miramax,Romantic Comedy,"$90,829,322","17,879,787"
22,Entrapment,4/30/1999,1999,20th Century Fox,Thriller/Suspense,"$87,707,396","17,265,235"
23,Pokemon: The First Movie,11/10/1999,1999,Warner Bros.,Adventure,"$84,091,099","16,553,365"
24,Payback,2/5/1999,1999,Paramount Pictures,Action,"$81,526,121","16,048,449"
25,Stuart Little,12/17/1999,1999,Sony Pictures,Adventure,"$79,403,127","15,630,536"
26,The Green Mile,12/10/1999,1999,Warner Bros.,Drama,"$76,682,014","15,094,884"
27,Deep Blue Sea,7/28/1999,1999,Warner Bros.,Horror,"$73,648,228","14,497,682"
28,American Beauty,9/15/1999,1999,Dreamworks SKG,Drama,"$71,017,815","13,979,884"
29,Patch Adams,12/25/1998,1999,Universal,Comedy,"$69,519,968","13,685,033"
30,The Thomas Crown Affair,8/6/1999,1999,MGM,Thriller/Suspense,"$69,282,369","13,638,261"
31,Blue Streak,9/17/1999,1999,Sony Pictures,Action,"$67,760,741","13,338,728"
32,Bowfinger,8/13/1999,1999,Universal,Comedy,"$66,458,769","13,082,434"
33,Life,4/16/1999,1999,Universal,Comedy,"$64,062,587","12,610,745"
34,The Bone Collector,11/5/1999,1999,Universal,Thriller/Suspense,"$63,788,270","12,556,746"
35,She's All That,1/29/1999,1999,Miramax,Romantic Comedy,"$63,465,522","12,493,212"
36,End of Days,11/24/1999,1999,Universal,Action,"$63,185,000","12,437,992"
37,Three Kings,10/1/1999,1999,Warner Bros.,Black Comedy,"$59,223,104","11,658,091"
38,A Civil Action,12/25/1998,1999,Walt Disney,Drama,"$56,476,436","11,117,408"
39,Eyes Wide Shut,7/16/1999,1999,Warner Bros.,Drama,"$55,691,208","10,962,836"
40,Never Been Kissed,4/9/1999,1999,20th Century Fox,Romantic Comedy,"$55,474,757","10,920,227"
41,Forces of Nature,3/19/1999,1999,Dreamworks SKG,Romantic Comedy,"$52,957,800","10,424,763"
42,Varsity Blues,1/15/1999,1999,Paramount Pictures,Drama,"$52,894,169","10,412,237"
43,Message in a Bottle,2/12/1999,1999,Warner Bros.,Drama,"$52,880,016","10,409,451"
44,"South Park: Bigger, Longer …",6/30/1999,1999,Paramount Pictures,Musical,"$52,037,603","10,243,622"
45,Stigmata,9/10/1999,1999,MGM,Horror,"$50,014,865","9,845,445"
46,Deuce Bigalow: Male Gigolo,12/10/1999,1999,Walt Disney,Comedy,"$46,353,560","9,124,716"
47,Life Is Beautiful,10/23/1998,1999,Miramax,Drama,"$46,188,407","9,092,206"
48,Any Given Sunday,12/22/1999,1999,Warner Bros.,Drama,"$45,752,119","9,006,322"
49,Stepmom,12/25/1998,1999,Sony/TriStar,Drama,"$41,012,827","8,073,391"
50,House on Haunted Hill,10/29/1999,1999,Warner Bros.,Horror,"$40,489,824","7,970,437"
51,The Talented Mr. Ripley,12/24/1999,1999,Paramount Pictures,Thriller/Suspense,"$39,771,649","7,829,064"
52,Bicentennial Man,12/17/1999,1999,Walt Disney,Drama,"$39,610,696","7,797,381"
53,Cruel Intentions,3/5/1999,1999,Sony Pictures,Drama,"$38,201,895","7,520,058"
54,10 Things I Hate About You,3/31/1999,1999,Walt Disney,Romantic Comedy,"$38,177,966","7,515,347"
55,You’ve Got Mail,12/18/1998,1999,Warner Bros.,Romantic Comedy,"$37,792,542","7,439,476"
56,My Favorite Martian,2/12/1999,1999,Walt Disney,Comedy,"$36,850,101","7,253,956"
57,Fight Club,10/15/1999,1999,20th Century Fox,Drama,"$36,515,098","7,188,011"
58,8MM,2/26/1999,1999,Sony Pictures,Thriller/Suspense,"$36,443,442","7,173,905"
59,The Thin Red Line,12/23/1998,1999,20th Century Fox,Drama,"$35,365,325","6,961,678"
60,For Love of the Game,9/17/1999,1999,Universal,Drama,"$35,188,640","6,926,897"
61,The Prince of Egypt,12/18/1998,1999,Dreamworks SKG,Adventure,"$34,866,657","6,863,515"
62,Instinct,6/4/1999,1999,Walt Disney,Thriller/Suspense,"$34,105,207","6,713,623"
63,Mickey Blue Eyes,8/20/1999,1999,Warner Bros.,Romantic Comedy,"$33,864,342","6,666,209"
64,The Best Man,10/22/1999,1999,Universal,Romantic Comedy,"$33,293,520","6,553,842"
65,The 13th Warrior,8/27/1999,1999,Walt Disney,Action,"$32,698,899","6,436,791"
66,October Sky,2/19/1999,1999,Universal,Drama,"$32,683,932","6,433,844"
67,Lake Placid,7/16/1999,1999,20th Century Fox,Horror,"$31,770,413","6,254,018"
68,Random Hearts,10/8/1999,1999,Sony Pictures,Drama,"$31,054,924","6,113,174"
69,Superstar,10/8/1999,1999,Paramount Pictures,Comedy,"$30,150,814","5,935,199"
70,Mystery Men,8/6/1999,1999,Universal,Comedy,"$29,762,011","5,858,663"
71,Dogma,11/12/1999,1999,Lionsgate,Comedy,"$28,983,260","5,705,366"
72,The Out-of-Towners,4/2/1999,1999,Paramount Pictures,Comedy,"$28,544,120","5,618,921"
73,The Other Sister,2/26/1999,1999,Walt Disney,Romantic Comedy,"$27,807,627","5,473,942"
74,Galaxy Quest,12/24/1999,1999,Dreamworks SKG,Comedy,"$27,311,918","5,376,361"
75,Baby Geniuses,3/12/1999,1999,Sony Pictures,Adventure,"$27,151,490","5,344,781"
76,The Story of Us,10/15/1999,1999,Universal,Romantic Comedy,"$27,100,030","5,334,651"
77,Mysteries of Egypt,7/16/1998,1999,Sony Pictures,Documentary,"$27,042,366","5,323,300"
78,Blast from the Past,2/12/1999,1999,New Line,Romantic Comedy,"$26,613,620","5,238,901"
79,A Bug’s Life,11/20/1998,1999,Walt Disney,Adventure,"$26,372,231","5,191,384"
80,The Insider,11/5/1999,1999,Walt Disney,Drama,"$26,114,890","5,140,726"
81,Saving Private Ryan,7/24/1998,1999,Dreamworks SKG,Drama,"$25,746,307","5,068,170"
82,Man on the Moon,12/22/1999,1999,Universal,Drama,"$25,309,535","4,982,191"
83,The Wood,7/16/1999,1999,Paramount Pictures,Comedy,"$25,059,640","4,933,000"
84,Anna and the King,12/17/1999,1999,20th Century Fox,Drama,"$24,732,782","4,868,657"
85,Arlington Road,7/9/1999,1999,Sony Pictures,Thriller/Suspense,"$24,419,219","4,806,932"
86,T-Rex: Back to the Cretaceous,10/23/1998,1999,IMAX Films,Adventure,"$24,343,061","4,791,941"
87,The Iron Giant,8/4/1999,1999,Warner Bros.,Adventure,"$23,159,305","4,558,918"
88,EDtv,3/26/1999,1999,Universal,Comedy,"$22,508,689","4,430,844"
89,Mighty Joe Young,12/25/1998,1999,Walt Disney,Adventure,"$22,479,904","4,425,177"
90,At First Sight,1/15/1999,1999,MGM,Drama,"$22,365,133","4,402,585"
91,The Bachelor,11/5/1999,1999,New Line,Romantic Comedy,"$21,266,456","4,186,310"
92,A Stir of Echoes,9/10/1999,1999,Artisan,Horror,"$21,133,087","4,160,056"
93,Doug's 1st Movie,3/26/1999,1999,Walt Disney,Adventure,"$19,421,271","3,823,084"
94,Summer of Sam,7/2/1999,1999,Walt Disney,Thriller/Suspense,"$19,288,130","3,796,875"
95,An Ideal Husband,6/18/1999,1999,Miramax,Romantic Comedy,"$18,542,974","3,650,191"
96,Being John Malkovich,10/29/1999,1999,USA Films,Black Comedy,"$18,243,969","3,591,332"
97,Anywhere But Here,11/12/1999,1999,20th Century Fox,Drama,"$18,215,284","3,585,685"
98,Everest,3/6/1998,1999,MacGillivray Free…,Documentary,"$18,064,450","3,555,994"
99,Waking Ned Devine,11/20/1998,1999,20th Century Fox,Comedy,"$17,834,187","3,510,666"
100,Drive Me Crazy,10/1/1999,1999,20th Century Fox,Romantic Comedy,"$17,813,484","3,506,591"
101,The Rage: Carrie 2,3/12/1999,1999,MGM,Horror,"$17,760,244","3,496,111"
102,Rushmore,12/11/1998,1999,Walt Disney,Black Comedy,"$17,052,387","3,356,769"
103,Go!,4/9/1999,1999,Sony Pictures,Black Comedy,"$16,875,273","3,321,904"
104,True Crime,3/19/1999,1999,Warner Bros.,Drama,"$16,676,845","3,282,843"
105,Bringing Out The Dead,10/22/1999,1999,Paramount Pictures,Black Comedy,"$16,481,455","3,244,380"
106,Muppets From Space,7/14/1999,1999,Sony Pictures,Adventure,"$16,304,786","3,209,603"
107,A Midsummer Night's Dream,5/14/1999,1999,Fox Searchlight,Romantic Comedy,"$16,071,990","3,163,777"
108,The Corruptor,3/12/1999,1999,New Line,Action,"$15,164,492","2,985,136"
109,Election,4/23/1999,1999,Paramount Pictures,Black Comedy,"$14,943,582","2,941,650"
110,Music of the Heart,10/29/1999,1999,Miramax,Drama,"$14,755,057","2,904,538"
111,Enemy of the State,11/20/1998,1999,Walt Disney,Action,"$14,727,445","2,899,103"
112,Tea with Mussolini,5/14/1999,1999,MGM,Drama,"$14,395,874","2,833,833"
113,The Faculty,12/25/1998,1999,Miramax,Horror,"$14,169,955","2,789,361"
114,The Messenger: The Story of…,11/12/1999,1999,Sony Pictures,Drama,"$14,149,871","2,785,407"
115,In Too Deep,8/25/1999,1999,Gramercy,Thriller/Suspense,"$14,026,509","2,761,123"
116,Virus,1/15/1999,1999,Universal,Action,"$14,010,690","2,758,009"
117,A Simple Plan,12/11/1998,1999,Paramount Pictures,Thriller/Suspense,"$13,795,773","2,715,703"
118,The Deep End of the Ocean,3/12/1999,1999,Sony Pictures,Drama,"$13,508,635","2,659,180"
119,Elizabeth,11/6/1998,1999,Gramercy,Drama,"$13,502,610","2,657,994"
120,The Mod Squad,3/26/1999,1999,MGM,Action,"$13,260,050","2,610,246"
121,The Omega Code,10/15/1999,1999,Providence Entert…,Action,"$12,276,200","2,416,574"
122,The King and I,3/19/1999,1999,Warner Bros.,Musical,"$12,064,440","2,374,889"
123,In Dreams,1/15/1999,1999,Dreamworks SKG,Horror,"$12,017,369","2,365,623"
124,The Thirteenth Floor,5/28/1999,1999,Sony Pictures,Thriller/Suspense,"$11,810,854","2,324,971"
125,The Adventures of Elmo in G…,10/1/1999,1999,Sony Pictures,Adventure,"$11,634,458","2,290,247"
126,The Muse,8/27/1999,1999,October Films,Comedy,"$11,614,954","2,286,408"
127,Wing Commander,3/12/1999,1999,20th Century Fox,Action,"$11,578,022","2,279,138"
128,Star Trek: Insurrection,12/11/1998,1999,Paramount Pictures,Adventure,"$11,533,472","2,270,368"
129,The Waterboy,11/6/1998,1999,Walt Disney,Comedy,"$11,449,338","2,253,806"
130,The Rugrats Movie,11/20/1998,1999,Paramount Pictures,Adventure,"$11,308,493","2,226,081"
131,Chill Factor,9/1/1999,1999,Warner Bros.,Action,"$11,263,966","2,217,316"
132,Cookie's Fortune,4/2/1999,1999,October Films,Black Comedy,"$10,920,544","2,149,713"
133,Office Space,2/19/1999,1999,Miramax,Black Comedy,"$10,827,813","2,131,459"
134,The Astronaut's Wife,8/27/1999,1999,New Line,Thriller/Suspense,"$10,672,566","2,100,898"
135,Drop Dead Gorgeous,7/23/1999,1999,New Line,Black Comedy,"$10,571,408","2,080,985"
136,Three to Tango,10/22/1999,1999,Warner Bros.,Romantic Comedy,"$10,570,375","2,080,782"
137,Universal Soldier II: The R…,8/20/1999,1999,Sony Pictures,Action,"$10,447,421","2,056,578"
138,Black Mask,5/14/1999,1999,Artisan,Action,"$10,211,278","2,010,094"
139,Bats,10/22/1999,1999,Sony Pictures,Horror,"$10,155,691","1,999,151"
140,Brokedown Palace,8/13/1999,1999,20th Century Fox,Drama,"$10,115,014","1,991,144"
141,The Red Violin,6/11/1999,1999,Lionsgate,Drama,"$10,019,109","1,972,265"
142,Dudley Do-Right,8/27/1999,1999,Universal,Comedy,"$9,818,792","1,932,833"
143,Trippin’,5/12/1999,1999,October Films,Comedy,"$9,017,070","1,775,013"
144,Teaching Mrs. Tingle,8/20/1999,1999,Miramax,Black Comedy,"$8,959,883","1,763,756"
145,"Mystery, Alaska",10/1/1999,1999,Walt Disney,Comedy,"$8,891,623","1,750,319"
146,Pushing Tin,4/23/1999,1999,20th Century Fox,Comedy,"$8,408,835","1,655,282"
147,Twin Dragons,4/9/1999,1999,Miramax,Action,"$8,332,431","1,640,242"
148,The Love Letter,5/21/1999,1999,Dreamworks SKG,Romantic Comedy,"$8,322,608","1,638,308"
149,Outside Providence,9/1/1999,1999,Miramax,Comedy,"$7,309,628","1,438,903"
150,Run Lola Run,6/18/1999,1999,Sony Pictures Cla…,Thriller/Suspense,"$7,207,666","1,418,831"
151,Africa's Elephant Kingdom,5/8/1998,1999,Discovery/IMAX,Documentary,"$7,049,211","1,387,639"
152,Buena Vista Social Club,6/4/1999,1999,Artisan,Documentary,"$6,918,494","1,361,908"
153,Extreme,3/23/1999,1999,IMAX Films,Documentary,"$6,892,475","1,356,786"
154,200 Cigarettes,2/26/1999,1999,Paramount Pictures,Romantic Comedy,"$6,852,450","1,348,907"
155,Lost and Found,4/23/1999,1999,Warner Bros.,Romantic Comedy,"$6,552,255","1,289,813"
156,Dick,8/4/1999,1999,Sony Pictures,Comedy,"$6,276,869","1,235,604"
157,Affliction,12/30/1998,1999,Lionsgate,Drama,"$6,238,175","1,227,987"
158,Foolish,4/9/1999,1999,Artisan,Comedy,"$6,026,908","1,186,399"
159,Les Boys II,10/23/1998,1999,Lionsgate,Comedy,"$5,974,732","1,176,128"
160,Light It Up,11/10/1999,1999,20th Century Fox,Drama,"$5,821,544","1,145,973"
161,Central Station,11/20/1998,1999,Sony Pictures Cla…,Drama,"$5,274,531","1,038,293"
162,Island of the Sharks,4/30/1999,1999,IMAX Films,Documentary,"$5,206,926","1,024,985"
163,Jakob the Liar,9/24/1999,1999,Sony Pictures,Drama,"$4,956,401","975,669"
164,A Walk on the Moon,3/26/1999,1999,Miramax,Drama,"$4,741,987","933,462"
165,Hilary and Jackie,12/30/1998,1999,October Films,Drama,"$4,739,909","933,052"
166,Mumford,9/24/1999,1999,Walt Disney,Comedy,"$4,559,569","897,552"
167,Gods and Monsters,11/6/1998,1999,Lionsgate,Drama,"$4,467,274","879,384"
168,Simply Irresistible,2/5/1999,1999,20th Century Fox,Romantic Comedy,"$4,398,989","865,942"
169,Flawless,11/24/1999,1999,MGM,Drama,"$4,394,718","865,101"
170,The Straight Story,10/15/1999,1999,Walt Disney,Drama,"$4,375,944","861,406"
171,Encounter in the Third Dime…,2/26/1999,1999,nWave Pictures,Documentary,"$4,269,548","840,462"
172,Detroit Rock City,8/13/1999,1999,New Line,Comedy,"$4,217,115","830,140"
173,The Cider House Rules,12/10/1999,1999,Miramax,Drama,"$4,201,516","827,070"
174,Gloria,1/22/1999,1999,Sony Pictures,Drama,"$4,167,493","820,372"
175,Dinner Game,7/9/1999,1999,Lionsgate,Comedy,"$4,065,116","800,219"
176,The Winslow Boy,4/30/1999,1999,Sony Pictures Cla…,Drama,"$4,058,350","798,887"
177,Idle Hands,4/30/1999,1999,Sony Pictures,Horror,"$4,023,741","792,075"
178,Playing by Heart,12/30/1998,1999,Miramax,Drama,"$3,919,278","771,511"
179,"Lock, Stock and Two Smoking…",3/5/1999,1999,Gramercy,Black Comedy,"$3,897,569","767,237"
180,Little Voice,12/4/1998,1999,Miramax,Musical,"$3,714,954","731,290"
181,Rush Hour,9/18/1998,1999,New Line,Action,"$3,619,410","712,482"
182,Thrill Ride: The Science of…,7/11/1997,1999,Sony Pictures Cla…,Documentary,"$3,441,911","677,541"
183,Jack Frost,12/11/1998,1999,Warner Bros.,Comedy,"$3,391,985","667,713"
184,The School of Flesh,2/26/1999,1999,Stratosphere Ente…,Drama,"$3,359,031","661,226"
185,Fifty,10/29/1999,1999,Warren Miller Ent…,Documentary,"$3,328,240","655,165"
186,Elvis Gratton 2,7/2/1999,1999,Lionsgate,Comedy,"$3,316,272","652,809"
187,Jawbreaker,2/19/1999,1999,Sony Pictures,Black Comedy,"$3,076,820","605,673"
188,The Limey,10/8/1999,1999,Artisan,Drama,"$3,020,829","594,651"
189,Wolves,2/26/1999,1999,Primesco,Documentary,"$2,852,213","561,459"
190,eXistenZ,4/23/1999,1999,Miramax,Thriller/Suspense,"$2,840,417","559,137"
191,Love Stinks,9/10/1999,1999,Independent Artists,Black Comedy,"$2,793,776","549,955"
192,Boys Don't Cry,10/8/1999,1999,Fox Searchlight,Drama,"$2,697,068","530,918"
193,Marius et Jeannette,12/5/1997,1999,New Yorker,Romantic Comedy,"$2,552,768","502,513"
194,Mansfield Park,11/18/1999,1999,Miramax,Drama,"$2,472,250","486,663"
195,Princess Mononoke,10/29/1999,1999,Miramax,Action,"$2,374,107","467,343"
196,Windhorse,2/12/1999,1999,Shadow,Drama,"$2,297,017","452,168"
197,Fantasia 2000 (Theatrical R…,12/31/1999,1999,Walt Disney,Musical,"$2,290,525","450,890"
198,Liberty Heights,11/17/1999,1999,Warner Bros.,Drama,"$2,286,654","450,128"
199,Babe: Pig in the City,11/25/1998,1999,Universal,Adventure,"$2,185,790","430,273"
200,A Dog of Flanders,8/27/1999,1999,Warner Bros.,Drama,"$2,165,637","426,306"
1,How the Grinch Stole Christmas,11/17/2000,2000,Universal,Adventure,"$254,257,385","47,172,056"
2,Mission: Impossible 2,5/24/2000,2000,Paramount Pictures,Action,"$215,409,889","39,964,728"
3,Gladiator,5/5/2000,2000,Dreamworks SKG,Action,"$186,610,052","34,621,530"
4,The Perfect Storm,6/30/2000,2000,Warner Bros.,Drama,"$182,618,434","33,880,971"
5,Meet the Parents,10/6/2000,2000,Universal,Comedy,"$161,325,490","29,930,517"
6,X-Men,7/14/2000,2000,20th Century Fox,Action,"$157,299,717","29,183,620"
7,Scary Movie,7/7/2000,2000,Miramax/Dimension,Comedy,"$157,019,771","29,131,682"
8,What Lies Beneath,7/21/2000,2000,Dreamworks SKG,Thriller/Suspense,"$155,464,351","28,843,107"
9,Dinosaur,5/19/2000,2000,Walt Disney,Adventure,"$137,748,063","25,556,226"
10,Erin Brockovich,3/17/2000,2000,Universal,Drama,"$125,548,685","23,292,891"
11,Nutty Professor II: The Klumps,7/28/2000,2000,Universal,Comedy,"$123,307,945","22,877,169"
12,Charlie's Angels,11/3/2000,2000,Sony Pictures,Action,"$122,802,761","22,783,443"
13,Big Momma's House,6/2/2000,2000,20th Century Fox,Comedy,"$117,559,438","21,810,656"
14,What Women Want,12/15/2000,2000,Paramount Pictures,Romantic Comedy,"$115,761,883","21,477,158"
15,Remember the Titans,9/29/2000,2000,Walt Disney,Drama,"$113,746,040","21,103,161"
16,The Patriot,6/28/2000,2000,Sony Pictures,Drama,"$113,330,342","21,026,037"
17,Cast Away,12/22/2000,2000,20th Century Fox,Adventure,"$109,689,440","20,350,545"
18,Chicken Run,6/21/2000,2000,Dreamworks SKG,Adventure,"$106,793,915","19,813,342"
19,Gone in 60 Seconds,6/9/2000,2000,Walt Disney,Action,"$101,643,008","18,857,700"
20,"Me, Myself & Irene",6/23/2000,2000,20th Century Fox,Comedy,"$90,570,999","16,803,524"
21,Space Cowboys,8/4/2000,2000,Warner Bros.,Adventure,"$90,179,885","16,730,961"
22,Unbreakable,11/22/2000,2000,Walt Disney,Thriller/Suspense,"$90,033,796","16,703,858"
23,Scream 3,2/4/2000,2000,Miramax,Horror,"$89,138,076","16,537,676"
24,U-571,4/21/2000,2000,Universal,Action,"$77,086,030","14,301,675"
25,Hollow Man,8/4/2000,2000,Sony Pictures,Horror,"$73,209,340","13,582,437"
26,Rugrats in Paris,11/17/2000,2000,Paramount Pictures,Adventure,"$71,205,699","13,210,704"
27,Shaft,6/16/2000,2000,Paramount Pictures,Action,"$70,327,868","13,047,841"
28,The Kid,7/7/2000,2000,Walt Disney,Comedy,"$69,688,384","12,929,199"
29,Road Trip,5/19/2000,2000,Dreamworks SKG,Comedy,"$68,525,609","12,713,471"
30,Bring it On,8/25/2000,2000,Universal,Comedy,"$68,353,550","12,681,549"
31,Rules of Engagement,4/7/2000,2000,Paramount Pictures,Drama,"$61,322,858","11,377,153"
32,The Cell,8/18/2000,2000,New Line,Thriller/Suspense,"$61,280,963","11,369,380"
33,Mission to Mars,3/10/2000,2000,Walt Disney,Adventure,"$60,874,615","11,293,991"
34,Coyote Ugly,8/4/2000,2000,Walt Disney,Drama,"$60,786,269","11,277,600"
35,Stuart Little,12/17/1999,2000,Sony Pictures,Adventure,"$60,612,097","11,245,287"
36,The Green Mile,12/10/1999,2000,Warner Bros.,Drama,"$60,119,360","11,153,870"
37,Snow Day,2/11/2000,2000,Paramount Pictures,Comedy,"$60,008,303","11,133,265"
38,American Beauty,9/15/1999,2000,Dreamworks SKG,Drama,"$59,040,232","10,953,660"
39,102 Dalmatians,11/22/2000,2000,Walt Disney,Adventure,"$58,335,959","10,822,997"
40,Fantasia 2000 (Theatrical R…,6/16/2000,2000,Walt Disney,Musical,"$58,216,703","10,800,872"
41,The Whole Nine Yards,2/18/2000,2000,Warner Bros.,Comedy,"$57,262,492","10,623,838"
42,Next Friday,1/12/2000,2000,New Line,Comedy,"$57,176,582","10,607,900"
43,Shanghai Noon,5/26/2000,2000,Walt Disney,Western,"$56,932,305","10,562,579"
44,Romeo Must Die,3/22/2000,2000,Warner Bros.,Action,"$55,973,336","10,384,663"
45,Dolphins,10/20/2000,2000,MacGillivray Free…,Documentary,"$54,000,000","10,018,552"
46,The Cider House Rules,12/10/1999,2000,Miramax,Drama,"$53,345,693","9,897,160"
47,Final Destination,3/17/2000,2000,New Line,Horror,"$53,302,314","9,889,112"
48,Vertical Limit,12/8/2000,2000,Sony Pictures,Thriller/Suspense,"$51,880,114","9,625,253"
49,The Emperor's New Groove,12/15/2000,2000,Walt Disney,Adventure,"$50,812,284","9,427,139"
50,The Road to El Dorado,3/31/2000,2000,Dreamworks SKG,Adventure,"$50,802,661","9,425,354"
51,The Hurricane,12/29/1999,2000,Universal,Drama,"$50,158,016","9,305,754"
52,Men of Honor,11/10/2000,2000,20th Century Fox,Drama,"$47,512,458","8,814,927"
53,Miss Congeniality,12/22/2000,2000,Warner Bros.,Comedy,"$46,382,671","8,605,319"
54,The Tigger Movie,2/11/2000,2000,Walt Disney,Adventure,"$45,542,421","8,449,428"
55,Frequency,4/28/2000,2000,New Line,Thriller/Suspense,"$44,983,704","8,345,770"
56,The Replacements,8/11/2000,2000,Warner Bros.,Comedy,"$44,737,059","8,300,010"
57,Galaxy Quest,12/24/1999,2000,Dreamworks SKG,Comedy,"$44,111,808","8,184,008"
58,Pokemon 2000,7/21/2000,2000,Warner Bros.,Adventure,"$43,746,923","8,116,312"
59,The Family Man,12/22/2000,2000,Universal,Comedy,"$43,144,380","8,004,523"
60,The Talented Mr. Ripley,12/24/1999,2000,Paramount Pictures,Thriller/Suspense,"$41,520,486","7,703,244"
61,The Beach,2/11/2000,2000,20th Century Fox,Drama,"$39,778,599","7,380,074"
62,Pitch Black,2/18/2000,2000,USA Films,Horror,"$39,235,088","7,279,237"
63,Little Nicky,11/10/2000,2000,New Line,Comedy,"$38,848,624","7,207,536"
64,The Original Kings of Comedy,8/18/2000,2000,Paramount Pictures,Concert/Perfor…,"$38,168,022","7,081,265"
65,Autumn in New York,8/11/2000,2000,MGM,Drama,"$37,752,931","7,004,254"
66,Bedazzled,10/20/2000,2000,20th Century Fox,Comedy,"$37,519,291","6,960,907"
67,The Exorcist,12/26/1973,2000,Warner Bros.,Horror,"$37,112,212","6,885,382"
68,Keeping the Faith,4/14/2000,2000,Walt Disney,Romantic Comedy,"$37,036,404","6,871,317"
69,28 Days,4/14/2000,2000,Sony Pictures,Comedy,"$37,035,515","6,871,153"
70,Toy Story 2,11/19/1999,2000,Walt Disney,Adventure,"$36,972,140","6,859,395"
71,Bounce,11/17/2000,2000,Miramax,Drama,"$36,675,505","6,804,360"
72,Hanging Up,2/18/2000,2000,Sony Pictures,Comedy,"$36,037,909","6,686,068"
73,"Dude, Where's My Car?",12/15/2000,2000,20th Century Fox,Comedy,"$35,631,910","6,610,743"
74,The Flintstones in Viva Roc…,4/28/2000,2000,Universal,Comedy,"$35,231,365","6,536,431"
