Rank,Movie,"Release
Date",Year,Distributor,Genre,1996 Gross,Tickets Sold
67,First Kid,8/30/1996,1996,Walt Disney,Adventure,"$26,299,656","5,950,148"
68,From Dusk Till Dawn,1/19/1996,1996,Miramax/Dimension,Horror,"$25,728,961","5,821,031"
69,Down Periscope,3/1/1996,1996,20th Century Fox,Comedy,"$25,723,977","5,819,904"
70,That Thing You Do!,10/4/1996,1996,20th Century Fox,Comedy,"$25,680,349","5,810,033"
71,Escape from L.A.,8/9/1996,1996,Paramount Pictures,Action,"$25,426,861","5,752,683"
72,Fly Away Home,9/13/1996,1996,Sony Pictures,Drama,"$25,054,202","5,668,371"
73,Kingpin,7/26/1996,1996,MGM,Comedy,"$25,023,424","5,661,408"
74,The Craft,5/3/1996,1996,Sony Pictures,Horror,"$24,769,466","5,603,951"
75,Father of the Bride Part II,12/8/1995,1996,Walt Disney,Comedy,"$24,313,176","5,500,718"
76,Fargo,3/8/1996,1996,Gramercy,Thriller/Suspense,"$24,035,883","5,437,982"
77,The Juror,2/2/1996,1996,Sony Pictures,Thriller/Suspense,"$22,730,924","5,142,742"
78,Sabrina,12/15/1995,1996,Paramount Pictures,Romantic Comedy,"$22,669,649","5,128,879"
79,D3: The Mighty Ducks,10/4/1996,1996,Walt Disney,Comedy,"$22,491,695","5,088,618"
80,Emma,8/2/1996,1996,Miramax,Comedy,"$22,231,658","5,029,786"
81,The Quest,4/26/1996,1996,Universal,Action,"$21,607,190","4,888,504"
82,A Very Brady Sequel,8/23/1996,1996,Paramount Pictures,Comedy,"$21,443,204","4,851,403"
83,Chain Reaction,8/2/1996,1996,20th Century Fox,Thriller/Suspense,"$21,226,204","4,802,308"
84,Bulletproof,9/6/1996,1996,Universal,Action,"$21,195,840","4,795,438"
85,High School High,10/25/1996,1996,Sony Pictures,Comedy,"$20,883,060","4,724,674"
86,Fear,4/12/1996,1996,Universal,Thriller/Suspense,"$20,694,623","4,682,041"
87,The Glimmer Man,10/4/1996,1996,Warner Bros.,Action,"$20,404,841","4,616,479"
88,City Hall,2/16/1996,1996,Sony Pictures,Drama,"$20,278,055","4,587,795"
89,Multiplicity,7/17/1996,1996,Sony Pictures,Comedy,"$20,133,326","4,555,051"
90,Flipper,5/17/1996,1996,Universal,Adventure,"$20,080,020","4,542,990"
91,Don't Be a Menace to South …,1/12/1996,1996,Miramax,Comedy,"$19,674,813","4,451,315"
92,Bed of Roses,1/26/1996,1996,New Line,Drama,"$18,972,237","4,292,361"
93,Kazaam,7/17/1996,1996,Walt Disney,Comedy,"$18,880,508","4,271,608"
94,The Fan,8/16/1996,1996,Sony Pictures,Thriller/Suspense,"$18,582,965","4,204,290"
95,Last Man Standing,9/20/1996,1996,New Line,Action,"$18,115,927","4,098,626"
96,My Fellow Americans,12/20/1996,1996,Warner Bros.,Comedy,"$18,042,099","4,081,922"
97,The Crow: City of Angels,8/30/1996,1996,Miramax,Action,"$17,897,671","4,049,246"
98,Extreme Measures,9/27/1996,1996,Sony Pictures,Drama,"$17,378,193","3,931,717"
99,The Phantom,6/7/1996,1996,Paramount Pictures,Action,"$17,220,599","3,896,063"
100,Fled,7/19/1996,1996,MGM,Action,"$17,192,205","3,889,639"
101,Diabolique,3/22/1996,1996,Warner Bros.,Thriller/Suspense,"$17,100,266","3,868,838"
102,The Frighteners,7/19/1996,1996,Universal,Horror,"$16,553,635","3,745,166"
103,Trainspotting,7/19/1996,1996,Miramax,Drama,"$16,501,785","3,733,435"
104,Supercop,7/26/1996,1996,Miramax,Action,"$16,270,600","3,681,131"
105,The Adventures of Pinocchio,7/26/1996,1996,New Line,Adventure,"$15,382,170","3,480,128"
106,Flirting with Disaster,3/22/1996,1996,Miramax,Comedy,"$14,853,474","3,360,514"
107,Thinner,10/25/1996,1996,Paramount Pictures,Horror,"$14,807,397","3,350,089"
108,The Substitute,4/19/1996,1996,Orion Pictures,Thriller/Suspense,"$14,675,167","3,320,173"
109,The Chamber,10/11/1996,1996,Universal,Thriller/Suspense,"$14,407,578","3,259,633"
110,Maximum Risk,9/13/1996,1996,Sony Pictures,Action,"$14,102,929","3,190,707"
111,The Arrival,5/31/1996,1996,Orion Pictures,Thriller/Suspense,"$14,031,906","3,174,639"
112,Bio-Dome,1/12/1996,1996,MGM,Comedy,"$13,294,762","3,007,864"
113,Se7en,9/22/1995,1996,New Line,Thriller/Suspense,"$13,011,868","2,943,861"
