Original title,Producing country,Production year,Directors,Admissions 1996-1996,Total EU27+GB since 1996
Zoolander,US,2001,Ben Stiller, 760 845,1 599 619
The Parole Officer,GB,2001,John Duigan, 760 023, 760 812
Hemso,"TR, GB",2000,"Ömer Uður, Ömer Ugur", 756 526, 790 647
Someone Like You...,US,2001,Tony Goldwyn, 755 195, 777 945
Malèna,"IT, US",2000,Giuseppe Tornatore, 748 670,1 454 841
El Espinazo del Diablo,"ES, MX",2001,Guillermo del Toro, 747 484, 874 344
Costa!,NL,2001,Johan Nijenhuis, 746 313, 746 384
Rat Race,"US, CA",2001,Jerry Zucker, 743 843,3 053 317
Ghosts of Mars,US,2001,John Carpenter, 723 889, 737 549
The 51st State,"GB, CA, US",2001,Ronny Yu, 719 397,1 339 088
Autumn in New York,US,2000,Joan Chen, 711 981,5 637 455
The Jungle Book,US,1967,Wolfgang Reitherman, 703 425,1 431 572
Harry Potter and the Chamber of Secrets,"GBinc, US",2002,Chris Columbus,43 431 388,53 168 667
The Lord of the Rings: The Fellowship of the Ring,"US, NZ",2001,Peter Jackson,37 485 011,61 756 026
Spider-Man,US,2002,Sam Raimi,33 507 335,33 599 015
Star Wars: Episode II - Attack of the Clones,US,2002,George Lucas,31 223 987,31 759 139
The Lord of the Rings: The Two Towers,"US, NZ",2002,Peter Jackson,26 041 217,56 036 237
Ocean's Eleven,US,2001,Steven Soderbergh,25 345 832,26 596 383
"Monsters, Inc.",US,2001,"Pete Docter, David Silverman, Lee Unkrich",24 410 410,25 014 111
Men in Black II,US,2002,Barry Sonnenfeld,22 879 966,22 944 597
Ice Age,US,2002,"Chris Wedge, Carlos Saldanha",22 622 991,23 578 458
Astérix & Obélix : Mission Cléopâtre,"FR, DE",2002,Alain Chabat,22 129 342,22 799 038
Die Another Day,"GBinc, US",2002,Lee Tamahori,20 480 494,26 951 437
Minority Report,US,2002,Steven Spielberg,19 045 915,19 216 287
Signs,US,2002,M. Night Shyamalan,16 439 629,16 552 909
A Beautiful Mind,US,2001,Ron Howard,15 651 403,15 721 794
Harry Potter and the Philosopher's Stone,"GBinc, US",2001,Chris Columbus,14 067 098,61 598 852
Scooby-Doo,"US, AU",2002,Raja Gosnell,11 740 391,11 823 586
Red Dragon,"US, DE, GB",2002,Brett Ratner,11 373 884,11 805 015
XXX,US,2002,Rob Cohen,11 193 848,11 322 608
About a Boy,"GBinc, US, FR",2002,"Chris Weitz, Paul Weitz",10 938 857,11 039 962
Stuart Little 2,US,2002,Rob Minkoff,10 527 825,10 736 456
Lilo & Stitch,US,2002,"Dean DeBlois, Chris Sanders",10 183 160,10 291 831
Blade II,US,2002,Guillermo del Toro,9 471 318,9 483 720
Vanilla Sky,US,2001,Cameron Crowe,8 956 794,8 986 532
Panic Room,US,2002,David Fincher,8 924 875,8 925 626
40 Days and 40 Nights,"US, GB, FR",2002,Michael Lehmann,8 279 021,8 333 031
Austin Powers in Goldmember,US,2002,Jay Roach,8 218 547,8 240 336
The Bourne Identity,"US, DE, CZ",2002,Doug Liman,7 814 003,8 043 446
Road to Perdition,US,2002,Sam Mendes,6 853 486,7 683 740
Gosford Park,"US, GB, DE, IT",2001,Robert Altman,6 628 223,6 678 857
8 Femmes,FR,2002,François Ozon,6 567 515,6 918 445
Shallow Hal,US,2001,"Bobby Farrelly, Peter Farrelly",6 419 768,6 523 739
Unfaithful,US,2002,Adrian Lyne,6 215 245,7 194 848
The Scorpion King,US,2002,Chuck Russell,6 153 243,6 208 674
Hable con Ella,ES,2002,Pedro Almodóvar,6 124 509,7 200 646
Return to Never Land,"US, CA, AU",2002,"Robin Budd, Donovan Cook",6 108 658,6 199 805
Pinocchio,"IT, FR, DE",2002,Roberto Benigni,6 045 798,6 722 064
The Sum of All Fears,US,2002,Phil Alden Robinson,5 998 793,6 029 061
My Big Fat Greek Wedding,US,2002,Joel Zwick,5 625 342,11 597 852
Spirit: Stallion of the Cimarron,US,2002,"Kelly Asbury, Lorna Cook",5 483 399,5 992 449
Spy Game,"US, DE, JP, FR",2001,Tony Scott,5 281 678,7 731 766
Resident Evil,"DE, GB, FR",2002,Paul W.S. Anderson,5 236 705,5 306 367
Treasure Planet,US,2002,"Ron Clements, John Musker",5 198 272,8 748 638
The Sweetest Thing,US,2002,Roger Kumble,5 105 699,5 119 340
From Hell,US,2001,"Albert Hughes, Allen Hughes",5 064 608,5 553 502
Le fabuleux destin d'Amélie Poulain,"FR, DE",2001,Jean-Pierre Jeunet,4 955 916,20 639 521
The Pianist,"FR, GB, DE, PL",2002,Roman Polanski,4 862 318,8 640 128
Insomnia,US,2002,Christopher Nolan,4 814 015,5 129 954
The Time Machine,US,2002,Simon Wells,4 687 323,4 690 698
Black Hawk Down,"US, GB",2001,Ridley Scott,4 234 332,4 244 321
Bend It Like Beckham,"GB, DE",2002,Gurinder Chadha,4 129 471,4 905 171
Showtime,US,2002,Tom Dey,4 096 582,4 097 002
"La leggenda di Al, John e Jack",IT,2002,"Aldo Baglio, Giacomo Poretti,  Giovanni, Massimo Venier",3 791 296,4 298 221
Natale sul Nilo,"IT, ES, GB",2002,Neri Parenti,3 745 603,5 852 982
Mr. Deeds,US,2002,Steven Brill,3 660 291,3 989 330
The Others,"ES, US",2001,Alejandro Amenábar,3 500 026,14 353 585
L'auberge espagnole,"FR, ES",2001,Cédric Klapisch,3 495 765,4 676 504
Not Another Teen Movie,US,2001,Joel Gallen,3 457 711,3 458 346
Bad Company,"US, CZ",2002,Joel Schumacher,3 453 481,3 488 529
Ali,US,2001,Michael Mann,3 415 832,3 416 197
The Santa Clause 2,US,2002,Michael Lembeck,3 413 357,3 905 417
Snow Dogs,"US, CA",2002,Brian Levant,3 398 342,3 524 865
Le boulet,"FR, GB",2002,"Alain Berberian, Frédéric Forestier",3 389 625,3 508 646
Ali G Indahouse,GB,2002,Mark Mylod,3 361 718,3 413 574
Reign of Fire,"US, IE, GB",2002,Rob Bowman,3 251 141,3 828 395
Dragonfly,"US, DE",2002,Tom Shadyac,3 214 972,3 215 961
Murder By Numbers,US,2002,Barbet Schroeder,3 199 138,3 202 547
The Mothman Prophecies,US,2002,Mark Pellington,3 056 593,3 056 738
John Q,US,2002,Nick Cassavetes,3 034 741,3 042 489
Crossroads,US,2002,Tamra Davis,3 029 537,3 043 133
Le peuple migrateur,"FR, DE",2001,"Jacques Perrin, Jacques Cluzaud, Michel Debats",2 878 510,4 904 647
Thir13en Ghosts,US,2001,Steve Beck,2 821 078,2 821 440
We Were Soldiers,"US, DE",2002,Randall Wallace,2 733 125,2 744 388
El otro lado de la cama,ES,2001,Emilio Martínez Lázaro,2 726 871,2 914 900
Changing Lanes,US,2002,Roger Michell,2 707 756,2 984 587
E.T. The Extra-Terrestrial,US,1982,Steven Spielberg,2 671 918,3 373 771
Rush Hour 2,US,2001,Brett Ratner,2 670 990,8 542 009
Eight Legged Freaks,US,2002,Ellory Elkayem,2 522 995,2 547 576
Kate & Leopold,US,2001,James Mangold,2 481 644,2 497 656
The Royal Tenenbaums,US,2001,Wes Anderson,2 438 433,2 506 942
Atlantis: The Lost Empire,US,2001,"Gary Trousdale, Kirk Wise",2 391 851,11 649 846
The Princess Diaries,US,2001,Garry Marshall,2 308 222,4 975 253
Rat Race,"US, CA",2001,Jerry Zucker,2 297 378,3 053 317
Bibi Blocksberg,DE,2002,Hermine Huntgeburth,2 235 720,2 405 770
Sweet Home Alabama,US,2002,Andy Tennant,2 224 827,4 930 500
Collateral Damage,"US, ES",2002,Andrew Davis,2 215 526,2 217 174
Windtalkers,US,2002,John Woo,2 089 918,2 095 008
I am Sam,US,2001,Jessie Nelson,2 040 653,2 041 851
K-19: The Widowmaker,"US, GB, DE",2002,Kathryn Bigelow,2 007 552,2 087 904
Behind Enemy Lines,US,2001,John Moore,1 980 009,1 981 808
Mulholland Drive,"US, FR",2001,David Lynch,1 967 267,2 684 064
Zemsta,PL,2002,Andrzej Wajda,1 958 956,1 976 731
One Hour Photo,US,2002,Mark Romanek,1 952 739,2 301 580
Tanguy,FR,2001,Étienne Chatiliez,1 938 817,5 264 257
High Crimes,US,2002,Carl Franklin,1 882 142,2 129 198
The Shipping News,US,2001,Lasse Hallström,1 878 517,1 890 051
The Guru,"US, GB, FR",2002,Daisy von Scherler Mayer,1 860 947,2 258 724
Monsieur Batignole,FR,2002,Gérard Jugnot,1 808 006,1 926 804
Monsoon Wedding,"IN, IT, FR, US",2001,Mira Nair,1 730 567,1 945 727
Don't Say a Word,US,2001,Gary Fleder,1 699 070,4 201 512
Monster's Ball,"US, CA",2001,Marc Forster,1 687 023,1 730 866
Amen,"FR, DE, RO",2002, Costa-Gavras,1 687 019,1 932 487
Embrassez qui vous voudrez,"FR, GB, IT",2002,Michel Blanc,1 662 391,1 884 607
Italiensk for begyndere,DK,2000,Lone Scherfig,1 654 497,2 944 346
Sen to Chihiro no kamikakushi,"JP, US",2001,Hayao Miyazaki,1 636 891,3 408 992
Van Wilder,"US, DE",2002,Walt Becker,1 634 193,2 328 440
Etre et avoir,FR,2002,Nicolas Philibert,1 609 749,2 939 169
Hollywood Ending,US,2002,Woody Allen,1 605 381,1 683 910
Los lunes al sol,"ES, FR, IT",2001,Fernando León de Aranoa,1 602 946,2 455 171
The Count of Monte Cristo,"US, IE, GB",2002,Kevin Reynolds,1 601 856,1 656 661
Enough,US,2002,Michael Apted,1 599 643,1 655 362
Joy Ride,US,2001,John Dahl,1 545 370,1 694 169
Jimmy Neutron: Boy Genius,US,2001,John A. Davis,1 544 788,1 562 269
Bowling for Columbine,"US, CA, DE",2002,Michael Moore,1 535 854,4 054 338
Bandits,US,2001,Barry Levinson,1 528 798,3 253 112
The Tuxedo,US,2002,Kevin Donovan,1 510 906,3 025 231
Le raid,FR,2002,Djamel Bensalah,1 498 561,1 529 339
Queen of the Damned,"US, AU",2002,Michael Rymer,1 496 516,1 497 202
K-PAX,"US, DE",2001,Iain Softley,1 494 303,1 499 892
The One,US,2001,James Wong,1 467 355,2 045 554
Iris,"GBinc, US",2001,Richard Eyre,1 435 598,1 453 900
28 Days Later,GB,2002,Danny Boyle,1 362 045,4 252 690
Der Schuh des Manitu,DE,2001,Michael Herbig,1 338 246,14 286 858
Training Day,US,2001,Antoine Fuqua,1 324 632,3 791 794
3 zéros,FR,2002,Fabien Onteniente,1 296 692,1 302 202
El hijo de la novia,"AR, ES",2001,Juan José Campanella,1 291 315,1 850 307
Mies vailla menneisyyttä,"FI, DE, FR",2002,Aki Kaurismäki,1 270 884,2 124 208
Nirgendwo in Afrika,DE,2001,Caroline Link,1 266 069,2 481 172
Serendipity,US,2001,Peter Chelsom,1 265 183,2 217 997
Knallharte Jungs,DE,2002,Granz Henman,1 243 463,1 471 002
Long Time Dead,"GB, FR",2002,Marcus Adams,1 231 353,1 231 440
Spy Kids 2: Island of Lost Dreams,"US, NZ",2002,Robert Rodriguez,1 228 526,3 305 943
Décalage horaire,"FR, GB",2002,Danièle Thompson,1 159 417,1 571 201
Domestic Disturbance,US,2001,Harold Becker,1 141 680,1 144 084
Ghost Ship,US,2002,Steve Beck,1 136 942,3 981 419
L'adversaire,"FR, CH, ES",2002,Nicole Garcia,1 075 767,1 239 969
Hart's War,US,2002,Gregory Hoblit,1 038 023,1 038 446
Vidocq,FR,2001, Pitof,1 037 438,2 987 246
Le pacte des loups,FR,2001,Christophe Gans,1 031 959,8 654 088
Ah! Si j'étais riche,FR,2002,"Gérard Bitton, Michel Munz",1 007 384,1 231 476
Jeepers Creepers,"US, DE",2001,Victor Salva, 999 938,2 993 732
Nackt,DE,2002,Doris Dörrie, 992 187,1 093 354
Femme fatale,"US, FR, DE",2002,Brian De Palma, 990 575,1 507 709
The Importance of Being Earnest,"GB, US, FR",2002,Oliver Parker, 968 143,1 352 698
Irréversible,FR,2002,Gaspar Noé, 959 328,1 158 110
In the Bedroom,US,2001,Todd Field, 950 615, 953 541
The Four Feathers,US,2002,Shekhar Kapur, 923 614,1 298 371
The Man Who Wasn't There,US,2001,"Joel Coen, Ethan Coen", 919 617,2 014 256
Merry Christmas,"IT, ES",2001,Neri Parenti, 918 580,3 224 232
Halloween: Resurrection,US,2002,Rick Rosenthal, 918 060, 944 153
A la folie... pas du tout,FR,2002,Laetitia Colombani, 896 213,1 071 679
Birthday Girl,"GBinc, US",2001,Jez Butterworth, 888 257,1 256 336
Darkness,ES,2002,Jaume Balagueró, 885 361,1 684 442
Grabben i graven bredvid,"SE, NO",2002,Kjell Sundvall, 876 691,1 046 680
Hearts in Atlantis,US,2001,Scott Hicks, 876 164, 877 239
Elling,NO,2001,Petter Næss, 871 904,1 798 767
Une femme de ménage,FR,2002,Claude Berri, 861 933, 934 196
Transporter,"FR, US",2002,"Louis Leterrier, Corey Yuen", 851 180,1 740 885
Zoolander,US,2001,Ben Stiller, 837 866,1 599 619
Riders,"CA, FR, GB",2002,Gérard Pirès, 833 878, 941 313
Rollerball,US,2002,John McTiernan, 830 691, 830 859
Killing Me Softly,"US, GB",2002,Chen Kaige, 813 802, 856 969
Frailty,US,2001,Bill Paxton, 802 576, 848 338
Erkan & Stefan gegen die Mächte der Finsternis,DE,2002,Axel Sand, 796 045, 796 045
The Magdalene Sisters,"GB, IE",2002,Peter Mullan, 778 578,2 477 923
Bella Martha,"DE, AT, CH",2001,Sandra Nettelbeck, 777 520, 969 464
America's Sweethearts,US,2001,Joe Roth, 773 070,7 021 540
Quelqu'un de bien,FR,2002,Patrick Timsit, 766 499, 769 714
Un viaggio chiamato amore,IT,2002,Michele Placido, 763 631, 768 303
Les rois mages,FR,2001,"Didier Bourdon, Bernard Campan", 754 568,2 548 141
Son,TR,2001,Levent Kirca, 752 094, 752 094
Moulin rouge,"US, AU",2001,Baz Luhrmann, 748 419,12 746 017
Black Knight,US,2001,Gil Junger, 739 087, 743 131
S1m0ne,US,2002,Andrew Niccol, 735 190, 764 791
Febbre da cavallo - La mandrakata,IT,2002,Carlo Vanzina, 734 548, 737 599
Blood Work,US,2002,Clint Eastwood, 733 181, 795 093
Lantana,"AU, DE",2001,Ray Lawrence, 730 238, 822 020
Ma femme... s'appelle Maurice,FR,2002,Jean-Marie Poiré, 726 034, 729 432
Super Troopers,US,2001,Jay Chandrasekhar, 712 592, 715 902
Heaven,"DE, FR, US",2002,Tom Tykwer, 710 203, 773 738
Samsara,"DE, FR, IT, IN",2001,Pan Nalin, 693 724, 896 045
Blanche,FR,2002,Bernie Bonvoisin, 691 183, 708 806
666 - Traue keinem mit dem du schläfst,DE,2002,Rainer Matsutani, 677 829, 677 829
"Was nicht passt, wird passend gemacht",DE,2002,Peter Thorwarth, 674 418, 675 299
American Pie 2,US,2001,J.B. Rogers, 672 226,20 883 319
Siu lam juk kau,"HK, US",2001,Stephen Chow, 664 502, 914 136
Y tu mamá también,"MX, US",2001,Alfonso Cuarón, 655 711,1 095 337
The Hole,"GB, FR",2001,Nick Hamm, 645 973,2 431 865
Marie-Jo et ses deux amours,FR,2002,Robert Guédiguian, 636 807, 732 931
Pettson & Findus - Kattonauten,"SE, DE",2000,"Albert Hanan Kaminski, Torbjörn Jansson, Árpád Szabó", 636 739,2 213 104
No Man's Land,"FR, BE, IT, GB, SI",2001,Danis Tanovic, 626 807,1 287 108
I am Dina,"NO, DE, FR, DK, SE",2002,"Ole Bornedal, Tony Spataro", 599 341, 704 831
Just Visiting,"FR, US",2001,Jean-Marie Poiré, 591 185,2 095 003
My Little Eye,"US, GB, FR",2002,Marc Evans, 590 765,1 034 892
"El mismo amor, la misma lluvia",AR,1999,Juan José Campanella, 587 273, 597 145
"Feuer, Eis & Dosenbier",DE,2002,Mathias Dinter, 586 035, 588 777
Se souvenir des belles choses,FR,2002,Zabou Breitman, 584 005, 622 360
Elsker dig for evigt,DK,2002,Susanne Bier, 575 858, 923 578
Minoes,NL,2001,Vincent Bal, 571 832,1 052 287
Possession,"US, FR",2002,Neil LaBute, 546 368, 608 936
Casomai,IT,2002,Alessandro D'Alatri, 541 263, 587 361
Finding Nemo,US,2003,"Andrew Stanton, Lee Unkrich",38 394 004,46 121 059
The Matrix Reloaded,US,2003,"Lilly Wachowski, Lana Wachowski",33 354 326,33 370 503
Pirates of the Caribbean: The Curse of the Black Pearl,US,2003,Gore Verbinski,30 320 488,30 819 630
The Lord of the Rings: The Two Towers,"US, NZ",2002,Peter Jackson,29 481 273,56 036 237
The Lord of the Rings: The Return of the King,"US, NZ",2003,Peter Jackson,27 670 398,55 180 881
Bruce Almighty,US,2003,Tom Shadyac,23 752 203,23 800 001
The Matrix Revolutions,US,2003,"Lilly Wachowski, Lana Wachowski",18 666 385,18 964 042
Terminator 3: Rise of the Machines,"US, DE, GB",2003,Jonathan Mostow,17 954 872,17 960 673
Catch Me If You Can,US,2002,Steven Spielberg,17 092 867,17 097 838
Johnny English,"GBinc, US, FR",2003,Peter Howitt,14 521 652,14 525 773
American Wedding,"US, DE",2003,Jesse Dylan,14 324 183,14 395 724
X2,US,2003,Bryan Singer,13 951 270,14 018 282
8 Mile,"US, DE",2002,Curtis Hanson,13 804 881,13 841 702
Love Actually,"GBinc, US, FR",2003,Richard Curtis,12 812 616,16 604 666
The Jungle Book 2,"US, AU",2003,Steve Trenbirth,12 375 015,12 398 803
Bad Boys II,US,2003,Michael Bay,10 904 977,10 926 621
Chicago,US,2002,Rob Marshall,10 709 578,10 753 140
The Ring,"US, JP",2002,Gore Verbinski,10 297 905,10 608 544
Gangs of New York,"US, IT",2002,Martin Scorsese,10 140 612,10 170 964
Two Weeks Notice,US,2002,Marc Lawrence,10 115 632,10 115 811
Charlie's Angels: Full Throttle,US,2003,"Joseph McGinty Nichol,  McG",9 964 346,9 991 456
"Good Bye, Lenin!",DE,2003,Wolfgang Becker,9 624 535,10 818 649
2 Fast 2 Furious,"US, DE",2003,John Singleton,9 575 268,9 624 050
Harry Potter and the Chamber of Secrets,"GBinc, US",2002,Chris Columbus,9 217 972,53 168 667
The League of Extraordinary Gentlemen,"US, DE, CZ, GB",2003,Stephen Norrington,8 899 678,8 987 172
Intolerable Cruelty,US,2003,"Joel Coen, Ethan Coen",8 546 015,8 802 823
Hulk,US,2003,Ang Lee,8 037 599,8 057 112
Kill Bill: Vol. 1,US,2003,Quentin Tarantino,7 865 170,9 775 895
Taxi 3,FR,2003,Gérard Krawczyk,7 582 539,7 593 936
The Hours,"US, GB",2002,Stephen Daldry,6 753 674,6 806 573
Maid in Manhattan,US,2002,Wayne Wang,6 742 064,6 742 680
Die Another Day,"GBinc, US",2002,Lee Tamahori,6 467 560,26 951 437
Master and Commander: The Far Side of the World,US,2003,Peter Weir,6 461 802,9 477 389
Lara Croft Tomb Raider: The Cradle of Life,"US, GB, DE, NL",2003,Jan de Bont,6 075 840,6 103 133
My Big Fat Greek Wedding,US,2002,Joel Zwick,5 966 601,11 597 852
How to Lose a Guy in 10 Days,"US, DE",2003,Donald Petrie,5 959 690,5 984 350
Daredevil,US,2003,Mark Steven Johnson,5 949 132,5 949 551
Daddy Day Care,US,2003,Steve Carr,5 501 142,5 602 670
Calendar Girls,"GBinc, US",2003,Nigel Cole,5 266 535,7 517 043
Anger Management,US,2003,Peter Segal,5 262 713,5 263 676
The Italian Job,"US, GB, DE",2003,F. Gary Gray,5 221 121,5 271 809
Sinbad: Legend of the Seven Seas,US,2003,"Patrick Gilmore, Tim Johnson",5 048 956,5 330 203
La gran aventura de Mortadelo y Filemón,ES,2003,Javier Fesser,5 006 433,5 075 330
Phone Booth,US,2002,Joel Schumacher,4 975 271,4 978 632
S.W.A.T.,US,2003,Clark Johnson,4 870 992,5 667 096
Piglet's Big Movie,US,2003,Francis Glebas,4 776 090,4 852 649
About Schmidt,US,2002,Alexander Payne,4 298 553,4 334 767
The Recruit,US,2003,Roger Donaldson,4 180 347,4 434 385
Final Destination 2,US,2003,David R. Ellis,4 166 161,4 167 845
Chouchou,FR,2003,Merzak Allouache,3 991 763,4 009 794
Elf,US,2003,Jon Favreau,3 942 484,5 047 062
Mystic River,US,2003,Clint Eastwood,3 925 066,5 108 355
Frida,"US, CA",2002,Julie Taymor,3 821 985,3 900 668
The Pianist,"FR, GB, DE, PL",2002,Roman Polanski,3 658 276,8 640 128
Treasure Planet,US,2002,"Ron Clements, John Musker",3 540 461,8 748 638
Dreamcatcher,"US, CA",2003,Lawrence Kasdan,3 481 926,3 482 436
Tais-toi !,"FR, IT",2003,Francis Veber,3 409 337,4 167 292
Das Wunder von Bern,DE,2003,Sönke Wortmann,3 302 329,3 801 620
Identity,US,2003,James Mangold,3 299 160,3 300 162
Natale in India,IT,2003,Neri Parenti,3 240 732,3 757 057
Just Married,"US, DE",2003,Shawn Levy,3 197 492,3 199 689
Once Upon a Time in Mexico,"US, MX",2003,Robert Rodriguez,3 133 855,3 663 111
"Legally Blonde 2: Red, White & Blonde",US,2003,Charles Herman-Wurmfeld,2 925 125,2 941 498
Bringing Down the House,US,2003,Adam Shankman,2 883 428,2 883 791
Ghost Ship,US,2002,Steve Beck,2 844 159,3 981 419
Underworld,"GB, HU, US, DE",2003,Len Wiseman,2 833 526,4 087 115
Sweet Home Alabama,US,2002,Andy Tennant,2 705 526,4 930 500
28 Days Later,GB,2002,Danny Boyle,2 704 665,4 252 690
La finestra di fronte,"IT, GB, PT, TR",2003,Ferzan Ozpetek,2 688 082,2 887 339
Analyze That,US,2002,Harold Ramis,2 628 871,2 629 027
Star Trek: Nemesis,US,2002,Stuart Baird,2 623 491,2 623 565
Tears of the Sun,US,2003,Antoine Fuqua,2 592 847,2 617 149
Freaky Friday,US,2003,Mark Waters,2 592 080,4 740 833
Bowling for Columbine,"US, CA, DE",2002,Michael Moore,2 468 498,4 054 338
Días de fútbol,ES,2003,David Serrano,2 424 949,2 541 993
Luther,DE,2003,Eric Till,2 342 972,4 027 574
Ricordati di me,"IT, FR, GB",2003,Gabriele Muccino,2 245 027,2 252 372
The Core,"US, GB, DE, IT, FR",2003,Jon Amiel,2 235 132,2 253 289
Freddy vs. Jason,US,2003,Ronny Yu,2 181 390,2 286 789
Das Fliegende Klassenzimmer,DE,2002,Tomy Wigand,2 121 033,2 262 707
Spy Kids 2: Island of Lost Dreams,"US, NZ",2002,Robert Rodriguez,2 071 517,3 305 943
The Life of David Gale,"US, DE",2003,Alan Parker,2 066 441,2 067 908
Natale sul Nilo,"IT, ES, GB",2002,Neri Parenti,2 044 198,5 852 982
Ying xiong,"CN, HK, AU",2002,Zhang Yimou,2 043 118,3 779 662
Matchstick Men,US,2003,Ridley Scott,2 037 344,2 277 640
Il paradiso all'improvviso,IT,2003,Leonardo Pieraccioni,2 029 625,4 828 061
La Beuze,FR,2003,"François Desagnat, Thomas Sorriaux",2 025 598,2 027 244
The Wild Thornberrys Movie,US,2002,"Cathy Malkasian, Jeff McGrath",2 010 186,2 011 903
Asmali konak: Hayat,TR,2003,Abdullah Oguz,1 974 407,1 974 774
Solaris,US,2002,Steven Soderbergh,1 948 942,1 958 573
National Security,US,2003,Dennis Dugan,1 913 814,1 914 965
Swimming Pool,"FR, GB",2003,François Ozon,1 850 482,1 982 142
I Spy,US,2002,Betty Thomas,1 831 725,1 832 004
Dogville,"DK, FR, SE, NL, DE, NO, GB",2003,Lars von Trier,1 826 245,2 193 582
O Simdi Asker,TR,2003,Mustafa Altioklar,1 769 773,1 769 773
Far From Heaven,"US, FR",2002,Todd Haynes,1 767 180,1 923 327
Spy Kids 3-D: Game Over,US,2003,Robert Rodriguez,1 745 756,5 964 780
7 ans de mariage,FR,2003,Didier Bourdon,1 711 328,1 711 559
Cradle 2 the Grave,US,2003,Andrzej Bartkowiak,1 700 140,1 701 643
Hollywood Homicide,US,2003,Ron Shelton,1 693 459,1 804 004
The Magdalene Sisters,"GB, IE",2002,Peter Mullan,1 654 822,2 477 923
Cidade De Deus,"BR, FR, US",2002,"Kátia Lund, Fernando Meirelles",1 635 543,1 797 290
Looney Tunes: Back in Action,US,2003,"Joe Dante, Eric Goldberg",1 635 433,3 995 358
25th Hour,US,2002,Spike Lee,1 633 727,1 636 918
Bulletproof Monk,US,2003,Paul Hunter,1 593 804,1 600 503
18 ans après,FR,2003,Coline Serreau,1 581 221,1 589 114
Basic,"US, CA, DE",2003,John McTiernan,1 575 460,1 588 689
Le coeur des hommes,FR,2003,Marc Esposito,1 575 351,1 620 215
Darkness Falls,"US, AU",2003,Jonathan Liebesman,1 567 212,1 567 332
Confessions of a Dangerous Mind,"US, CA, DE",2002,George Clooney,1 564 421,1 721 220
Les invasions barbares,"CA, FR",2003,Denys Arcand,1 553 330,2 666 175
Down With Love,US,2003,Peyton Reed,1 531 367,1 834 346
The Texas Chainsaw Massacre,US,2003,Marcus Nispel,1 528 838,2 793 982
Kangaroo Jack,US,2003,David McNally,1 519 787,1 522 808
The Tuxedo,US,2002,Kevin Donovan,1 514 195,3 025 231
Fanfan la Tulipe,FR,2003,Gérard Krawczyk,1 508 320,1 617 005
A Man Apart,US,2003,F. Gary Gray,1 498 957,1 500 015
Rugrats Go Wild!,US,2003,"John Eng, Norton Virgien",1 440 983,1 466 729
Jackass: The Movie,US,2002,Jeff Tremaine,1 395 349,1 395 846
The Hunted,US,2003,William Friedkin,1 394 274,1 413 786
Seabiscuit,US,2003,Gary Ross,1 373 397,1 656 010
La fleur du mal,FR,2003,Claude Chabrol,1 371 658,1 379 564
Carmen,"ES, GB, IT",2003,Vicente Aranda,1 353 848,1 418 166
Kopps,"SE, DK",2003,Josef Fares,1 346 902,1 508 700
Wrong Turn,"US, DE",2003,Rob Schmidt,1 292 530,1 805 470
The Human Stain,"US, DE, FR",2003,Robert Benton,1 278 341,2 180 029
Shanghai Knights,"US, GB, CZ",2003,David Dobkin,1 275 919,1 501 394
El oro de Moscú,ES,2003,Jesús Bonilla,1 259 269,1 259 269
Mauvais esprit,"FR, ES",2003,Patrick Alessandrin,1 228 859,1 480 284
Rire et châtiment,FR,2003,Isabelle Doval,1 222 139,1 222 262
Adaptation,US,2002,Spike Jonze,1 217 905,1 224 151
Dumb and Dumberer: When Harry Met Lloyd,US,2003,Troy Miller,1 198 336,1 223 902
Werner - Gekotzt wird später!,DE,2003,"Hayo Freitag, Toby Genkel, Michael Schaack",1 196 674,1 197 364
Père et fils,"FR, CA",2003,Michel Boujenah,1 186 773,1 214 465
Jeux d'enfants,"FR, BE",2003,Yann Samuell,1 183 195,1 581 223
Anything Else,"US, FR, GB",2003,Woody Allen,1 182 778,1 535 138
Jeepers Creepers 2,"US, NL",2003,Victor Salva,1 178 808,1 460 982
Old School,US,2003,Todd Phillips,1 178 002,1 178 483
Les triplettes de Belleville,"FR, BE, CA, GB",2002,Sylvain Chomet,1 173 863,1 492 039
The Hot Chick,US,2002,Tom Brady,1 173 447,1 187 472
Les sentiments,FR,2003,Noémie Lvovsky,1 165 390,1 303 911
The Quiet American,"US, DE, AU",2002,Phillip Noyce,1 149 134,1 440 464
Confidence,"US, CA, DE",2003,James Foley,1 136 113,1 189 141
Le coût de la vie,FR,2003,Philippe Le Guay,1 135 864,1 191 469
Respiro,"IT, FR",2002,Emanuele Crialese,1 127 887,1 207 078
Sen to Chihiro no kamikakushi,"JP, US",2001,Hayao Miyazaki,1 121 381,3 408 992
Scary Movie 3,US,2003,David Zucker,1 108 812,11 348 525
Le mystère de la chambre jaune,"FR, BE",2003,Bruno Podalydès,1 100 234,1 184 295
What a Girl Wants,"US, GB",2003,Dennie Gordon,1 079 939,1 082 146
The Dreamers,"FR, GB, IT",2003,Bernardo Bertolucci,1 078 863,1 667 777
"Moi César, 10 ans 1/2, 1m39",FR,2003,Richard Berry,1 077 673,1 083 096
Effroyables jardins,FR,2003,Jean Becker,1 045 338,1 051 694
Etre et avoir,FR,2002,Nicolas Philibert,1 037 810,2 939 169
