Original title,Producing country,Production year,Directors,Admissions 1996-1996,Total EU27+GB since 1996
The 13th Warrior,US,1999,"Michael Crichton, John McTiernan",4 198 200,4 471 173
Patch Adams,US,1998,Tom Shadyac,3 855 271,3 857 934
Urban Legend,US,1998,Jamie Blanks,3 850 378,3 873 597
Forces of Nature,US,1999,Bronwen Hughes,3 803 598,3 805 916
Babe: Pig in the City,"AU, US",1998,George Miller,3 688 403,4 728 253
La neuvième porte,"FR, ES",1999,Roman Polanski,3 610 814,5 046 816
The General's Daughter,US,1999,Simon West,3 489 716,3 555 263
Random Hearts,US,1999,Sydney Pollack,3 342 078,4 170 611
Instinct,US,1999,Jon Turteltaub,3 165 246,3 175 653
Jeanne d'Arc,FR,1999,Luc Besson,3 155 270,5 432 631
Mickey Blue Eyes,"US, GB",1999,"Kelly Makin, Carl Gottlieb",3 136 028,3 881 355
There's Something about Mary,US,1998,"Bobby Farrelly, Peter Farrelly",3 120 413,20 541 046
Werner - Volles Rooäää!!!,DE,1999,Gerhard Hahn,2 976 201,2 999 601
Mighty Joe Young,US,1998,Ron Underwood,2 928 863,2 940 478
Waking Ned,"GB, IE, FR, US",1998,Kirk Jones,2 922 616,3 072 606
Never Been Kissed,US,1999,Raja Gosnell,2 651 224,2 794 424
"South Park: Bigger, Longer & Uncut",US,1999,Trey Parker,2 611 280,5 855 122
Bowfinger,US,1999,Frank Oz,2 585 160,3 181 162
Practical Magic,US,1998,Griffin Dunne,2 557 890,3 489 861
East is East,GB,1999,Damien O'Donnell,2 509 596,4 118 930
Little Voice,GB,1998,Mark Herman,2 491 859,2 501 545
10 Things I Hate About You,US,1999,Gil Junger,2 418 949,2 537 429
Celebrity,US,1998,Woody Allen,2 383 664,2 591 000
Buena Vista Social Club,"DE, US, GB, FR, CU",1999,Wim Wenders,2 356 886,3 178 489
True Crime,US,1999,Clint Eastwood,2 335 768,2 342 908
The Mask of Zorro,US,1998,Martin Campbell,2 331 356,13 548 800
Les enfants du marais,FR,1999,Jean Becker,2 311 031,2 476 605
Ronin,US,1998,John Frankenheimer,2 237 703,4 957 641
Very Bad Things,US,1998,Peter Berg,2 118 953,2 120 260
Vampires,US,1998,John Carpenter,2 095 845,2 690 621
American History X,US,1998,Tony Kaye,2 042 327,2 059 770
Arlington Road,US,1998,Mark Pellington,2 029 739,2 030 466
The Waterboy,US,1998,Frank Coraci,2 005 919,2 161 081
Così è la vita,IT,1998,"Giacomo Poretti, Aldo Baglio,  Giovanni, Massimo Venier",1 963 555,3 981 923
Pünktchen Und Anton,DE,1998,Caroline Link,1 914 796,2 017 677
Sonnenallee,DE,1998,Leander Haußmann,1 878 905,2 719 043
A Midsummer Night's Dream,"US, IT, DE",1999,Michael Hoffman,1 830 862,1 924 359
Festen,DK,1998,Thomas Vinterberg,1 736 310,2 526 151
Quasimodo d'El Paris,FR,1999,Patrick Timsit,1 733 522,1 739 099
Virus,"US, GB, JP, DE, FR",1998,John Bruno,1 715 116,1 719 742
Muertos de risa,ES,1999,Álex de la Iglesia,1 668 694,1 668 756
Antz,US,1998,"Eric Darnell, Tim Johnson",1 640 138,8 385 572
Holy Man,US,1998,Stephen Herek,1 618 870,1 619 530
Ever After,US,1998,Andy Tennant,1 604 742,2 657 590
A Civil Action,US,1998,Steven Zaillian,1 536 913,1 537 098
Blade,US,1998,Stephen Norrington,1 506 577,7 059 246
My Favorite Martian,US,1999,Donald Petrie,1 490 277,1 491 816
The Truman Show,US,1998,Peter Weir,1 464 232,13 312 863
Bride of Chucky,US,1998,Ronny Yu,1 439 755,1 460 051
Le dîner de cons,FR,1998,Francis Veber,1 415 375,10 916 675
Central do Brasil,"BR, FR",1998,Walter Salles,1 409 168,2 218 086
Belle maman,FR,1999,Gabriel Aghion,1 406 686,1 407 380
Saving Private Ryan,US,1998,Steven Spielberg,1 373 298,23 240 102
EDtv,US,1999,Ron Howard,1 349 242,1 351 213
Blast from the Past,US,1999,Hugh Wilson,1 332 071,1 466 158
Ca commence aujourd'hui,FR,1999,Bertrand Tavernier,1 298 630,1 505 774
eXistenZ,"CA, GB",1999,David Cronenberg,1 286 450,1 448 999
Kirikou et la sorcière,"FR, BE, LU",1998,"Michel Ocelot, Raymond Burlet",1 285 346,2 264 944
"Le ciel, les oiseaux et... ta mère !",FR,1999,Djamel Bensalah,1 276 708,1 286 171
La Niña de tus ojos,ES,1998,Fernando Trueba,1 273 355,2 552 515
Aimée & Jaguar,DE,1999,Max Färberböck,1 255 076,1 376 568
Cube,CA,1997,Vincenzo Natali,1 251 056,1 636 860
La bûche,FR,1999,Danièle Thompson,1 224 462,1 705 178
Resurrection,US,1999,Russell Mulcahy,1 219 016,1 671 033
Sibirskij tsiryulnik,"RU, FR, IT, CZ",1998,Nikita Mikhalkov,1 209 107,1 485 657
Go,US,1999,Doug Liman,1 190 708,1 228 364
Kilerów 2-óch,PL,1999,Juliusz Machulski,1 189 800,1 189 800
"Crna mačka, beli mačor","FR, DE, YU",1998,Emir Kusturica,1 179 030,2 494 989
Fucking Åmål,SE,1998,Lukas Moodysson,1 138 593,2 126 828
Crazy in Alabama,US,1999,Antonio Banderas,1 121 094,1 128 985
