Original title,Producing country,Production year,Directors,Admissions null-null,Total EU27+GB since 1996
Cinderella,US,1950,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske", 415 382, 415 382
Broken Arrow,US,1950,Delmer Daves, 94 274, 94 274
Rashômon,JP,1950,Akira Kurosawa, 83 546, 83 546
All about Eve,US,1950,Joseph L. Mankiewicz, 56 726, 56 726
Das kalte Herz,DD,1950,Paul Verhoeven, 47 932, 47 932
Sunset Blvd.,US,1950,Billy Wilder, 45 033, 45 033
Los olvidados,MX,1950,Luis Buñuel, 23 123, 23 123
Jeannot l'intrépide,FR,1950,"Jean Image, Charles Frank", 22 254, 22 254
The Flame and the Arrow,US,1950,Jacques Tourneur, 21 290, 21 290
Das doppelte Lottchen,DE,1950,Josef von Báky, 20 885, 20 885
The Asphalt Jungle,US,1950,John Huston, 19 282, 19 282
In a Lonely Place,US,1950,Nicholas Ray, 12 232, 12 232
Stromboli,"IT, US",1950,Roberto Rossellini, 11 650, 11 650
So Long at the Fair,GB,1950,"Antony Darnborough, Terence Fisher", 10 095, 10 095
Where the Sidewalk Ends,US,1950,Otto Preminger, 8 955, 8 955
Winchester 73,US,1950,Anthony Mann, 7 956, 7 956
La ronde,FR,1950,Max Ophüls, 7 177, 7 177
House by the River,US,1950,Fritz Lang, 4 466, 4 466
Young Man with a Horn,US,1950,Michael Curtiz, 4 407, 4 407
Night and the City,GB,1950,Jules Dassin, 4 393, 4 393
"Francesco, giullare di Dio",IT,1950,Roberto Rossellini, 4 187, 4 187
Side Street,US,1950,Anthony Mann, 3 915, 3 915
Munekata kyôdai,JP,1950,Yasujirô Ozu, 3 852, 3 852
Yuki fujin ezu,JP,1950,Kenji Mizoguchi, 3 676, 3 676
Shûbun,JP,1950,Akira Kurosawa, 3 124, 3 124
Rio Grande,US,1950,John Ford, 3 118, 3 118
Panic in the Streets,US,1950,Elia Kazan, 2 765, 2 765
Chain Lightning,US,1950,Stuart Heisler, 2 517, 2 517
Cronaca di un amore,IT,1950,Michelangelo Antonioni, 2 266, 2 266
Never Fear,US,1950,Ida Lupino, 1 351, 1 351
Stage Fright,GB,1950,Alfred Hitchcock, 1 326, 1 326
Miquette et sa mère,FR,1950,Henri-Georges Clouzot, 1 268, 1 268
Il cammino della speranza,IT,1950,Pietro Germi, 1 199, 1 199
Agustina de Aragón,ES,1950,Juan de Orduña,  999,  999
Till glädje,SE,1950,Ingmar Bergman,  992,  992
Poslední výstrel,"CZ, SK",1950,Jirí Weiss,  852,  852
Outrage,US,1950,Ida Lupino,  826,  826
Whirlpool,US,1950,Otto Preminger,  722,  722
La beauté du diable,"FR, IT",1950,René Clair,  718,  718
Kon-Tiki,"NO, SE",1950,Thor Heyerdahl,  672,  672
Crisis,US,1950,Richard Brooks,  530,  530
Le trésor de Cantenac,FR,1950,Sacha Guitry,  395,  395
Colt .45,US,1950,Edwin L. Marin,  317,  317
Stars in My Crown,US,1950,Jacques Tourneur,  303,  303
De Røde heste,DK,1950,"Jon Iversen, Alice O'Fredericks",  223,  223
Les enfants terribles,FR,1950,Jean-Pierre Melville,  215,  215
Summer Stock,US,1950,Charles Walters,  200,  200
Die lustigen Weiber von Windsor,DD,1950,Georg Wildhagen,  194,  194
Mosekongen,DK,1950,"Jon Iversen, Alice O'Fredericks",  194,  194
Café Paradis,DK,1950,"Bodil Ipsen, Lau Lauritzen",  174,  174
È primavera...,IT,1950,Renato Castellani,  164,  164
Luci del varietà,IT,1950,"Federico Fellini, Alberto Lattuada",  155,  155
Montana,US,1950,"Ray Enright, Raoul Walsh",  111,  111
Katka,"CZ, SK",1950,Ján Kadár,  103,  103
No Way Out,US,1950,Joseph L. Mankiewicz,  94,  94
Rasuna valea,RO,1950,Paul Calinescu,  93,  93
Devil's Doorway,US,1950,Anthony Mann,  92,  92
Swiss Tour,"CH, US",1950,Leopold Lindtberg,  91,  91
The Gunfighter,US,1950,Henry King,  77,  77
Bajaja,"CZ, SK",1950,Jirí Trnka,  63,  63
El rey del barrio,MX,1950,Gilberto Martínez Solares,  59,  59
Prélude à la gloire,FR,1950,Georges Lacombe,  57,  57
Guernica,FR,1950,"Robert Hessens, Alain Resnais",  56,  56
Dalolva szép az élet,HU,1950,Márton Keleti,  48,  48
Caged,US,1950,John Cromwell,  31,  31
Flicka och hyacinter,SE,1950,Hasse Ekman,  21,  21
Der Rat der Götter,DD,1950,Kurt Maetzig,  21,  21
La posesión,MX,1950,Julio Bracho,  20,  20
El último caballo,ES,1950,Edgar Neville,  19,  19
Union Station,US,1950,Rudolph Maté,  17,  17
The Jackie Robinson Story,US,1950,Alfred E. Green,  17,  17
Justice est faite,FR,1950,André Cayatte,  17,  17
Non c'è pace tra gli ulivi,IT,1950,Giuseppe De Santis,  8,  8
Romanzo d'amore,"IT, FR",1950,Duilio Coletti,  6,  6
Moje miasto,PL,1950,Wojciech Has,  4,  4
Rågens rike,SE,1950,Ivar Johansson,  2,  2
L'enfant des neiges,FR,1951,Albert Guyot, 94 816, 94 816
Strangers on a Train,US,1951,Alfred Hitchcock, 48 664, 48 664
The Day the Earth Stood Still,US,1951,Robert Wise, 36 385, 36 385
An American in Paris,US,1951,Vincente Minnelli, 29 232, 29 232
A Streetcar Named Desire,US,1951,Elia Kazan, 27 396, 27 396
M,US,1951,Joseph Losey, 25 036, 25 036
Pandora and the Flying Dutchman,US,1951,Albert Lewin, 21 478, 21 478
Alice in Wonderland,US,1951,"Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske", 21 412, 21 412
The African Queen,US,1951,John Huston, 17 154, 17 154
The River,"US, FR, IN",1951,Jean Renoir, 15 403, 15 403
The Tales of Hoffmann,GB,1951,"Michael Powell, Emeric Pressburger", 14 920, 14 920
People Will Talk,US,1951,Joseph L. Mankiewicz, 14 448, 14 448
Ace in the Hole - Big Carnival,US,1951,Billy Wilder, 14 198, 14 198
La poison,FR,1951,Sacha Guitry, 12 836, 12 836
Anne of the Indies,US,1951,Jacques Tourneur, 8 414, 8 414
Distant Drums,US,1951,Raoul Walsh, 8 218, 8 218
The Guest,US,1951,Harve Foster, 7 564, 7 564
A Place in the Sun,US,1951,George Stevens, 7 493, 7 493
Hakuchi,JP,1951,Akira Kurosawa, 7 221, 7 221
Oyû-sama,JP,1951,Kenji Mizoguchi, 6 738, 6 738
Bakushû,JP,1951,Yasujirô Ozu, 6 308, 6 308
The Tall Target,US,1951,Anthony Mann, 4 959, 4 959
Sommarlek,SE,1951,Ingmar Bergman, 4 796, 4 796
The Lavender Hill Mob,GB,1951,Charles Crichton, 3 842, 3 842
Miracolo a Milano,IT,1951,Vittorio De Sica, 3 687, 3 687
Bellissima,IT,1951,Luchino Visconti, 3 520, 3 520
Journal d'un curé de campagne,FR,1951,Robert Bresson, 3 265, 3 265
The Man in the White Suit,GB,1951,Alexander Mackendrick, 2 663, 2 663
Showboat,US,1951,George Sidney, 2 511, 2 511
The Enforcer,US,1951,"Bretaigne Windust, Raoul Walsh", 2 506, 2 506
Olivia,FR,1951,Jacqueline Audry, 2 444, 2 444
Knock,FR,1951,Guy Lefranc, 2 413, 2 413
Detective Story,US,1951,William Wyler, 2 304, 2 304
L' Auberge rouge,FR,1951,Claude Autant-Lara, 2 172, 2 172
Fröken Julie,SE,1951,Alf Sjöberg, 2 088, 2 088
Parigi è sempre Parigi,"IT, FR",1951,Luciano Emmer, 1 850, 1 850
The Sword of d'Artagnan,US,1951,Budd Boetticher, 1 704, 1 704
Topaze,FR,1951,Marcel Pagnol, 1 535, 1 535
Bullfighter and the Lady,US,1951,Budd Boetticher, 1 433, 1 433
He Ran All the Way,US,1951,John Berry, 1 425, 1 425
Der Untertan,DD,1951,Wolfgang Staudte, 1 115, 1 115
Scrooge,GB,1951,Brian Desmond Hurst,  920,  920
Juliette ou La clef des songes,FR,1951,Marcel Carné,  778,  778
Susana,MX,1951,Luis Buñuel,  776,  776
Mød mig paa Cassiopeia,DK,1951,Torben Anton Svendsen,  713,  713
Father's Little Dividend,US,1951,Vincente Minnelli,  642,  642
En la palma de tu mano,MX,1951,Roberto Gavaldón,  589,  589
El Suavecito,MX,1951,Fernando Méndez,  558,  558
On Dangerous Ground,US,1951,"Ida Lupino, Nicholas Ray",  482,  482
La hija del engaño,MX,1951,Luis Buñuel,  474,  474
Musashino fujin,JP,1951,Kenji Mizoguchi,  439,  439
Quo Vadis,US,1951,"Mervyn LeRoy, Anthony Mann",  409,  409
Hon dansade en sommar,SE,1951,Arne Mattsson,  375,  375
A kiskakas gyémánt félkrajcárja,HU,1951,"Gyula Macskássy, Edit Fekete",  361,  361
Esa pareja feliz,ES,1951,"Juan Antonio Bardem, Luis García Berlanga",  294,  294
Cielo Negro,ES,1951,Manuel Mur Oti,  280,  280
Meshi,JP,1951,Mikio Naruse,  261,  261
Il Cristo proibito,IT,1951,Curzio Malaparte,  259,  259
Parsifal,ES,1951,"Daniel Mangrané, Carlos Serrano de Osma",  222,  222
La señora de Fátima,ES,1951,Rafael Gil,  206,  206
La Table-aux-Crevés,FR,1951,Henri Verneuil,  205,  205
Le roman de Genji,JP,1951,Kôzaburô Yoshimura,  200,  200
Honrarás a tu madre,AR,1951,Alberto D'Aversa,  198,  198
Malliswari,IN,1951,B.N. Reddi,  196,  196
El final de una leyenda,ES,1951,Ricardo Gascón,  187,  187
Karhanova parta,"CZ, SK",1951,"Zdenek Hofbauer, Václav Wasserman",  175,  175
Surcos,ES,1951,José Antonio Nieves Conde,  172,  172
Der Verlorene,DE,1951,Peter Lorre,  117,  117
Thunder on the Hill,US,1951,Douglas Sirk,  98,  98
Fodboldpræsten,DK,1951,Alice O'Fredericks,  75,  75
His Kind of Woman,US,1951,"John Farrow, Richard Fleischer",  68,  68
Zvony z rákosu,CZ,1951,Václav Kubásek,  60,  60
Trotacalles,MX,1951,Matilde Landeta,  54,  54
Déryné,HU,1951,László Kalmár,  51,  51
The Big Night,US,1951,Joseph Losey,  46,  46
I figli di nessuno,"FR, IT",1951,Raffaello Matarazzo,  44,  44
Posel úsvitu,"CZ, SK",1951,Václav Krska,  42,  42
Fixed Bayonets!,US,1951,Samuel Fuller,  40,  40
Temno,"CZ, SK",1951,Karel Steklý,  40,  40
Muchachas de Uniforme,MX,1951,Alfredo B. Crevenna,  38,  38
Totò le Moko,IT,1951,Carlo Ludovico Bragaglia,  35,  35
Guardie e ladri,IT,1951,"Mario Monicelli,  Steno",  34,  34
Det gamle guld,DK,1951,"Jon Iversen, Alice O'Fredericks",  30,  30
Anna,"IT, FR",1951,Alberto Lattuada,  25,  25
"Hard, Fast and Beautiful!",US,1951,Ida Lupino,  25,  25
"Kungar, prinsar och prinsessor","SE, CA, NO",1951,"Ulla-Carin Grafström, Torill Kove",  23,  23
Slepice a kostelník,"CZ, SK",1951,"Oldrich Lipský, Jan Strejcek",  22,  22
Sensualidad,MX,1951,Alberto Gout,  20,  20
Westward the Women,US,1951,William A. Wellman,  20,  20
Die Vier im Jeep,CH,1951,"Leopold Lindtberg, Elizabeth Montagu",  16,  16
Chicago Calling,US,1951,John Reinhardt,  15,  15
Awaara,IN,1951,Raj Kapoor,  12,  12
The House on Telegraph Hill,US,1951,Robert Wise,  12,  12
Singin' in the Rain,US,1952,"Gene Kelly, Stanley Donen", 705 094, 705 094
Fanfan la tulipe,FR,1952, Christian-Jaque, 147 370, 147 370
Jeux interdits,FR,1952,René Clément, 34 171, 34 171
The Bad and the Beautiful,US,1952,Vincente Minnelli, 23 781, 23 781
5 Fingers,US,1952,Joseph L. Mankiewicz, 23 439, 23 439
The Quiet Man,US,1952,John Ford, 22 837, 22 837
Scaramouche,US,1952,George Sidney, 20 478, 20 478
High Noon,US,1952,Fred Zinnemann, 16 956, 16 956
Umberto D.,IT,1952,Vittorio De Sica, 16 697, 16 697
Rancho Notorious,US,1952,Fritz Lang, 16 655, 16 655
Monkey Business,US,1952,Howard Hawks, 12 778, 12 778
Casque d'or,FR,1952,Jacques Becker, 12 563, 12 563
The Big Sky,US,1952,Howard Hawks, 11 883, 11 883
Ikiru,JP,1952,Akira Kurosawa, 11 144, 11 144
The Tragedy of Othello: The Moor of Venice,"FR, US",1952,Orson Welles, 11 123, 11 123
Le carrosse d'or,"FR, IT",1952,Jean Renoir, 9 519, 9 519
Ochazuke no aji,JP,1952,Yasujirô Ozu, 8 885, 8 885
The Snows of Kilimanjaro,US,1952,"Henry King, Roy Ward Baker", 8 348, 8 348
Pat and Mike,US,1952,George Cukor, 7 152, 7 152
Lo sceicco bianco,IT,1952,Federico Fellini, 6 798, 6 798
Heidi,CH,1952,Luigi Comencini, 6 626, 6 626
Le plaisir,FR,1952,Max Ophüls, 6 518, 6 518
Clash by Night,US,1952,Fritz Lang, 6 155, 6 155
Angel Face,US,1952,Otto Preminger, 5 904, 5 904
Bend of the River,US,1952,Anthony Mann, 5 669, 5 669
Mandy,GB,1952,Alexander Mackendrick, 5 420, 5 420
Limelight,US,1952,Charles Chaplin, 5 335, 5 335
Moulin rouge,GB,1952,John Huston, 5 113, 5 113
Okaasan,JP,1952,Mikio Naruse, 5 026, 5 026
Europa '51,IT,1952,Roberto Rossellini, 4 868, 4 868
Saikaku ichidai onna,JP,1952,Kenji Mizoguchi, 3 868, 3 868
Il cappotto,IT,1952,Alberto Lattuada, 3 673, 3 673
Mogambo,US,1952,John Ford, 3 073, 3 073
Viva Zapata!,US,1952,Elia Kazan, 2 919, 2 919
Povídání o pejskovi a kočičce,"CZ, SK",1952,Eduard Hofman, 2 189, 2 189
Due soldi di speranza,IT,1952,Renato Castellani, 1 504, 1 504
La macchina ammazzacattivi,IT,1952,Roberto Rossellini, 1 501, 1 501
La vérité sur Bébé Donge,FR,1952,Henri Decoin, 1 389, 1 389
La tratta delle bianche,IT,1952,Luigi Comencini, 1 158, 1 158
Palace Hotel,CH,1952,"Emil Berna, Leonard Steckel",  783,  783
Valkoinen peura,FI,1952,Erik Blomberg,  755,  755
La noche avanza,MX,1952,Roberto Gavaldón,  636,  636
Una mujer sin amor,MX,1952,Luis Buñuel,  598,  598
Pyšná princezna,"CZ, SK",1952,Borivoj Zeman,  581,  581
Les Miserables,US,1952,Lewis Milestone,  518,  518
The Narrow Margin,US,1952,"Richard Fleischer, William Cameron Menzies",  515,  515
Velké dobrodružství,"CZ, SK",1952,Milos Makovec,  509,  509
"Segundo López, aventurero urbano",ES,1952,Ana Mariscal,  453,  453
Don't Bother to Knock,US,1952,Roy Ward Baker,  399,  399
La minute de vérité,"FR, IT",1952,Jean Delannoy,  304,  304
Park Row,US,1952,Samuel Fuller,  301,  301
Kvinnors väntan,SE,1952,Ingmar Bergman,  282,  282
Císaruv pekar - Pekaruv císar,"CZ, SK",1952,Martin Fric,  279,  279
Le banquet des fraudeurs,"BE, DE",1952,Henri Storck,  195,  195
Thailand entdecken,DE,1952, Unknown Director(s),  193,  193
Divotvorný klobouk,"CZ, SK",1952,Alfred Radok,  184,  184
Erdei sportverseny,HU,1952,Gyula Macskássy,  176,  176
Det Store løb,DK,1952,Alice O'Fredericks,  150,  150
Haskovy povidky ze stareho mocnarstvi,"CZ, SK",1952,"Miroslav Hubácek, Oldrich Lipský",  148,  148
Akce B,"CZ, SK",1952,Josef Mach,  108,  108
Violetas imperiales,"ES, FR",1952,Richard Pottier,  106,  106
Ruby Gentry,US,1952,King Vidor,  72,  72
The Prisoner of Zenda,US,1952,Richard Thorpe,  63,  63
Deadline - U.S.A.,US,1952,Richard Brooks,  62,  62
Zítra se bude tancit vsude,"CZ, SK",1952,Vladimír Vlcek,  59,  59
The World in His Arms,US,1952,Raoul Walsh,  56,  56
Has Anybody Seen My Gal,US,1952,Douglas Sirk,  52,  52
Civil a pályán,HU,1952,Márton Keleti,  50,  50
Mikoláš Aleš,"CZ, SK",1952,Václav Krska,  45,  45
Genbaku no ko,JP,1952,Kaneto Shindô,  44,  44
Kansas City Confidential,US,1952,Phil Karlson,  43,  43
Poklad Ptacího ostrova,"CZ, SK",1952,Karel Zeman,  42,  42
Eldfågeln,"SE, IT",1952,Hasse Ekman,  33,  33
Way of a Gaucho,US,1952,Jacques Tourneur,  29,  29
Frosina,YU,1952,Vojislav Nanovic,  28,  28
Brelan d'as,FR,1952,Henri Verneuil,  28,  28
Tervetuloa aamukahville eli tottako toinen puoli,FI,1952,Eddie Stenberg,  26,  26
Houen zo,NL,1952,Georg Tressler,  15,  15
The Lusty Men,US,1952,"Robert Parrish, Nicholas Ray",  14,  14
Vacanze col gangster,IT,1952,Dino Risi,  11,  11
Ivanhoe,"GB, US",1952,Richard Thorpe,  11,  11
Racek má zpozdení,"CZ, SK",1952,Josef Mach,  8,  8
Les vacances de Monsieur Hulot,FR,1953,Jacques Tati, 492 065, 492 065
Little Fugitive,US,1953,"Ray Ashley, Morris Engel, Ruth Orkin", 276 873, 276 873
Tokyo monogatari,JP,1953,Yasujirô Ozu, 133 830, 133 830
Peter Pan,US,1953,"Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske", 116 295, 116 295
Roman Holiday,US,1953,William Wyler, 52 812, 52 812
I Vitelloni,"IT, FR",1953,Federico Fellini, 46 299, 46 299
Ugetsu monogatari,JP,1953,Kenji Mizoguchi, 41 318, 41 318
Gentlemen Prefer Blondes,US,1953,Howard Hawks, 37 315, 37 315
Pünktchen und Anton,"DE, AT",1953,Thomas Engel, 24 133, 24 133
The Big Heat,US,1953,Fritz Lang, 23 217, 23 217
The Band Wagon,US,1953,Vincente Minnelli, 20 494, 20 494
I Confess,US,1953,Alfred Hitchcock, 20 401, 20 401
Fear and Desire,US,1953,Stanley Kubrick, 19 275, 19 275
Sommaren med Monika,SE,1953,Ingmar Bergman, 17 318, 17 318
Calamity Jane,US,1953,David Butler, 15 664, 15 664
Jigokumon,JP,1953,Teinosuke Kinugasa, 14 431, 14 431
Bienvenido Mister Marshall,ES,1953,Luis García Berlanga, 11 544, 11 544
From Here to Eternity,US,1953,Fred Zinnemann, 11 338, 11 338
Madame de...,"FR, IT",1953,Max Ophüls, 11 269, 11 269
The Blue Gardenia,US,1953,Fritz Lang, 10 297, 10 297
The Naked Spur,US,1953,Anthony Mann, 10 064, 10 064
Él,MX,1953,Luis Buñuel, 8 872, 8 872
Le salaire de la peur,FR,1953,Henri-Georges Clouzot, 7 692, 7 692
Gion bayashi,JP,1953,Kenji Mizoguchi, 7 400, 7 400
The Sun Shines Bright,US,1953,John Ford, 7 296, 7 296
Die Geschichte vom kleinen Muck,DD,1953,Wolfgang Staudte, 6 275, 6 275
"Pane, amore e fantasia",IT,1953,Luigi Comencini, 4 768, 4 768
Knights of the Round Table,GB,1953,Richard Thorpe, 4 199, 4 199
Anatahan,JP,1953,Josef von Sternberg, 4 103, 4 103
How to Dance,US,1953,Jack Kinney, 3 936, 3 936
The Moon is blue,US,1953,Otto Preminger, 3 904, 3 904
The Bigamist,US,1953,Ida Lupino, 3 790, 3 790
Non è mai troppo tardi,IT,1953,Filippo Walter Ratti, 3 785, 3 785
La red,MX,1953,Emilio Fernández, 3 185, 3 185
The Titfield Thunderbolt,GB,1953,Charles Crichton, 3 062, 3 062
Det stora äventyret,SE,1953,Arne Sucksdorff, 3 001, 3 001
Shane,US,1953,George Stevens, 2 993, 2 993
The Hitch-Hiker,US,1953,Ida Lupino, 2 941, 2 941
Il sole negli occhi,IT,1953,Antonio Pietrangeli, 2 780, 2 780
Gycklarnas afton,SE,1953,Ingmar Bergman, 2 500, 2 500
"The 5,000 Fingers of Dr. T.",US,1953,Roy Rowland, 2 314, 2 314
The Man Between,GB,1953,Carol Reed, 2 237, 2 237
Stalag 17,US,1953,Billy Wilder, 2 074, 2 074
Niagara,US,1953,Henry Hathaway, 1 863, 1 863
Kiss Me Kate,US,1953,George Sidney, 1 668, 1 668
Far til fire,DK,1953,Alice O'Fredericks, 1 650, 1 650
Man on a Tightrope,US,1953,Elia Kazan, 1 542, 1 542
L'amore in città,IT,1953,"Michelangelo Antonioni, Federico Fellini, Alberto Lattuada, Carlo Lizzani, Francesco Maselli, Dino Risi, Cesare Zavattini", 1 283, 1 283
Staré povesti ceské,"CZ, SK",1953,Jirí Trnka, 1 074, 1 074
How to Marry a Millionaire,US,1953,Jean Negulesco,  970,  970
Der Baumeister des Sozialismus,DE,1953,"Ella Ensink, Theo Grandy",  941,  941
Julietta,FR,1953,Marc Allégret,  924,  924
La signora senza camelie,"IT, FR",1953,Michelangelo Antonioni,  835,  835
A Queen Is Crowned,GB,1953,Christopher Fry,  765,  765
Koibumi,JP,1953,Kinuyo Tanaka,  744,  744
L'amour d'une femme,FR,1953,Jean Grémillon,  718,  718
Ulisse,IT,1953,"Mario Camerini, Mario Bava",  692,  692
Abismos de pasión,MX,1953,Luis Buñuel,  642,  642
Pickup on South Street,US,1953,Samuel Fuller,  542,  542
El bruto,MX,1953,Luis Buñuel,  521,  521
Julius Caesar,US,1953,Joseph L. Mankiewicz,  517,  517
Aida,IT,1953,Clemente Fracassi,  499,  499
"""The Quatermass Experiment""",GB,1953,Rudolph Cartier,  473,  473
La belle de Cadix,FR,1953,"Raymond Bernard, Eusebio Fernández Ardavín",  422,  422
Thérèse Raquin,"FR, IT",1953,Marcel Carné,  343,  343
Föltámadott a tenger,HU,1953,"László Ranódy, Mihály Szemes, Kálmán Nádasdy",  330,  330
The Wild One,US,1953,László Benedek,  318,  318
Únos,"CZ, SK",1953,"Ján Kadár, Elmar Klos",  308,  308
Afrika I. - Z Maroka na Kilimandzaro,"CZ, SK",1953,"Jiri Hanzelka, Miroslav Zikmund",  300,  300
Beat the Devil,GB,1953,John Huston,  300,  300
Měsíc nad řekou,"CZ, SK",1953,Václav Krska,  298,  298
Tajemství krve,"CZ, SK",1953,Martin Fric,  216,  216
Le guérisseur,FR,1953,Yves Ciampi,  212,  212
Traviata '53,"IT, FR",1953,Vittorio Cottafavi,  204,  204
Concierto mágico,ES,1953,Rafael J. Salvia,  203,  203
The Living Desert,US,1953,James Algar,  185,  185
Nástup,"CZ, SK",1953,Otakar Vávra,  139,  139
Les amoureux de Marianne,FR,1953,Jean Stelli,  132,  132
Dovolená s Andelem,"CZ, SK",1953,Borivoj Zeman,  122,  122
The Lawless Breed,US,1953,Raoul Walsh,  108,  108
All I Desire,US,1953,Douglas Sirk,  104,  104
Plavecký mariás,"CZ, SK",1953,Václav Wasserman,  92,  92
Állami áruház,HU,1953,Viktor Gertler,  87,  87
Il peccato di Anna,IT,1953,Camillo Mastrocinque,  82,  82
La lupa,IT,1953,Alberto Lattuada,  78,  78
Slovo delá zenu,"CZ, SK",1953,Jaroslav Mach,  67,  67
House of Wax,US,1953,André De Toth,  63,  63
Afrika II. - Od rovníku ke Stolové hore,"CZ, SK",1953,"Jiri Hanzelka, Miroslav Zikmund",  50,  50
Cabaret,ES,1953,Eduardo Manzanos Brochero,  49,  49
A Blueprint for Murder,US,1953,Andrew L. Stone,  44,  44
Glen or Glenda,US,1953,Edward Wood Jr.,  40,  40
Salome,US,1953,William Dieterle,  37,  37
Stazione Termini,"IT, US",1953,Vittorio De Sica,  35,  35
Fløjtespilleren,DK,1953,Alice O'Fredericks,  33,  33
Moselfahrt aus Liebeskummer,DE,1953,Kurt Hoffmann,  29,  29
The Cruel Sea,GB,1953,Charles Frend,  26,  26
Krejcovská povídka,"CZ, SK",1953,Jindrich Pus,  24,  24
Ansiedad,MX,1953,Miguel Zacarías,  23,  23
"Hilja, maitotyttö",FI,1953,T.J. Särkkä,  19,  19
Afrikaans Avontuur,NL,1953,Theo Regout,  14,  14
Výstraha,"CZ, SK",1953,Miroslav Cikán,  14,  14
Lili,US,1953,Charles Walters,  12,  12
Yegor Bulychyov i drugiye,SU,1953,"Yuliya Solntseva, Boris Zakhava",  11,  11
Jestrab kontra Hrdlicka,"CZ, SK",1953,Vladimír Borský,  10,  10
Sinji galeb,YU,1953,Branko Bauer,  9,  9
Die Venus vom Tivoli,CH,1953,Leonard Steckel,  8,  8
Horizons sans fin,FR,1953,Jean Dréville,  7,  7
Mladá léta,"CZ, SK",1953,Václav Krska,  6,  6
O Cangaceiro,BR,1953,Lima Barreto,  3,  3
A város alatt,HU,1953,János Herskó,  2,  2
All the Brothers Were Valiant,US,1953,Richard Thorpe,  2,  2
Nad námí svítá,"CZ, SK",1953,Jirí Krejcík,  2,  2
La strada,IT,1954,Federico Fellini, 235 007, 235 007
Rear Window,US,1954,Alfred Hitchcock, 164 965, 164 965
Dial M for Murder,US,1954,Alfred Hitchcock, 102 007, 102 007
Johnny Guitar,US,1954,Nicholas Ray, 75 436, 75 436
Shichinin no samurai,JP,1954,Akira Kurosawa, 61 058, 61 058
White Christmas,US,1954,Michael Curtiz, 45 671, 45 671
Emil und die Detektive,DE,1954,Robert A. Stemmle, 41 185, 41 185
East of Eden,US,1954,Elia Kazan, 39 094, 39 094
Viaggio in Italia,"IT, FR",1954,Roberto Rossellini, 33 005, 33 005
Sabrina,US,1954,Billy Wilder, 29 856, 29 856
Les diaboliques,FR,1954,Henri-Georges Clouzot, 28 032, 28 032
Das fliegende Klassenzimmer,DE,1954,Kurt Hoffmann, 26 064, 26 064
Animal Farm,GB,1954,"Joy Batchelor, John Halas", 22 787, 22 787
Senso,IT,1954,Luchino Visconti, 20 593, 20 593
The Barefoot Contessa,US,1954,Joseph L. Mankiewicz, 20 551, 20 551
River of No Return,US,1954,"Otto Preminger, Jean Negulesco", 20 404, 20 404
On The Waterfront,US,1954,Elia Kazan, 17 864, 17 864
French Cancan,"FR, IT",1954,Jean Renoir, 16 461, 16 461
Miyamoto Musashi,JP,1954,Hiroshi Inagaki, 11 307, 11 307
Human Desire,US,1954,Fritz Lang, 11 224, 11 224
Chikamatsu monogatari,JP,1954,Kenji Mizoguchi, 11 201, 11 201
Sanshô dayû,JP,1954,Kenji Mizoguchi, 8 981, 8 981
Creature from the Black Lagoon,US,1954,Jack Arnold, 8 806, 8 806
Touchez pas au grisbi,"FR, IT",1954,Jacques Becker, 8 613, 8 613
Uwasa no onna,JP,1954,Kenji Mizoguchi, 7 303, 7 303
Yama no oto,JP,1954,Mikio Naruse, 6 976, 6 976
Hobson's Choice,GB,1954,David Lean, 6 798, 6 798
Vera Cruz,US,1954,Robert Aldrich, 6 396, 6 396
20000 Leagues Under the Sea,US,1954,Richard Fleischer, 5 150, 5 150
The Far Country,US,1954,Anthony Mann, 5 146, 5 146
Gojira,JP,1954,Ishirô Honda, 4 634, 4 634
The Million Pound Note,GB,1954,Ronald Neame, 3 918, 3 918
Hänsel und Gretel,DE,1954,Walter Janssen, 3 389, 3 389
Miseria e nobiltà,IT,1954,Mario Mattoli, 3 049, 3 049
Cesta vede do Tibetu,"CZ, SK",1954,Vladimír Sís, 2 979, 2 979
It Should Happen to You,US,1954,George Cukor, 2 950, 2 950
Magnificent Obsession,US,1954,Douglas Sirk, 2 803, 2 803
Non credo più all'amore (La paura),"DE, IT",1954,Roberto Rossellini, 2 785, 2 785
Seven Brides for Seven Brothers,US,1954,Stanley Donen, 2 784, 2 784
Carmen Jones,US,1954,Otto Preminger, 2 517, 2 517
Executive Suite,US,1954,Robert Wise, 2 391, 2 391
En lektion i kärlek,SE,1954,Ingmar Bergman, 2 336, 2 336
Far til fire i sneen,DK,1954,Alice O'Fredericks, 2 299, 2 299
Bangiku,JP,1954,Mikio Naruse, 2 246, 2 246
Monsieur Ripois,"FR, GB",1954,René Clément, 2 207, 2 207
The Maggie,GB,1954,Alexander Mackendrick, 1 734, 1 734
Brigadoon,US,1954,Vincente Minnelli, 1 554, 1 554
A Star Is Born,US,1954,George Cukor, 1 319, 1 319
Saban-Karamanin koyunu,TR,1954,Semih Evin, 1 263, 1 263
Jan Hus,"CZ, SK",1954,Otakar Vávra, 1 193, 1 193
