,original title,producing country,production year,directors,visitors
1608,Zbabelec,"CZ, SK",1962,Jirí Weiss,7
1609,Celebrul 702,RO,1962,Mihai Iacob,6
1610,Heaven and Earth Magic,US,1962,Harry Smith,5
1611,Kívánj akármit,HU,1962,József Nepp,2
1612,Il gattopardo,"IT, FR, US",1963,Luchino Visconti,189142
1613,Jason and the Argonauts,GB,1963,Don Chaffey,184808
1614,Le mépris,"FR, IT",1963,Jean-Luc Godard,95487
1615,Les tontons flingueurs,FR,1963,Georges Lautner,87988
1616,8½,IT,1963,Federico Fellini,86122
1617,Charade,US,1963,Stanley Donen,56875
1618,The Birds,US,1963,Alfred Hitchcock,53910
1619,The Very Edge,GB,1963,Cyril Frankel,43824
1620,The Servant,GB,1963,Joseph Losey,41258
1621,Bhootnath,IN,1963,Nanabhai Bhatt,40677
1622,Le joli mai,FR,1963,"Chris Marker, Pierre Lhomme",39251
1623,The Great Escape,US,1963,John Sturges,28847
1624,Lord of the Flies,GB,1963,Peter Brook,26151
1625,The Sword in the Stone,US,1963,"Clyde Geronimi, Wolfgang Reitherman, David Hand",21207
1626,Irma la douce,US,1963,Billy Wilder,15718
1627,Mahanagar,IN,1963,Satyajit Ray,15567
1628,Tystnaden,SE,1963,Ingmar Bergman,12896
1629,From Russia with Love,GB,1963,Terence Young,12753
1630,I compagni,"IT, FR, YU",1963,Mario Monicelli,11826
1631,Boca de Ouro,BR,1963,Nelson Pereira dos Santos,11707
1632,La baie des anges,FR,1963,Jacques Demy,11572
1633,Bébert et l'omnibus,FR,1963,Yves Robert,10296
1634,Un roi sans divertissement,FR,1963,François Leterrier,9574
1635,Tengoku to jigoku,JP,1963,Akira Kurosawa,9366
1636,Il boom,IT,1963,Vittorio De Sica,8886
1637,I mostri,"IT, FR",1963,Dino Risi,8579
1638,Ikarie XB 1,"CZ, SK",1963,Jindrich Polák,8578
1639,Nattvardsgästerna,SE,1963,Ingmar Bergman,8330
1640,Až přijde kocour,"CZ, SK",1963,Vojtech Jasny,8169
1641,Le feu follet,FR,1963,Louis Malle,8106
1642,El verdugo,"ES, IT",1963,Luis García Berlanga,7963
1643,Hikô shôjo,JP,1963,Kiriro Urayama,7797
1644,"Ieri, oggi, domani","IT, FR",1963,Vittorio De Sica,7599
1645,Le Mani sulla città,"IT, FR",1963,Francesco Rosi,7388
1646,Kvarteret korpen,SE,1963,Bo Widerberg,6755
1647,Love with the Proper Stranger,US,1963,Robert Mulligan,6392
1648,Als twee druppels water,NL,1963,Fons Rademakers,5293
1649,Cleopatra,"US, GB, CH",1963,"Joseph L. Mankiewicz, Rouben Mamoulian",5231
1650,Recoil,US,1963,Art Camacho,4946
1651,Pasažérka,PL,1963,"Witold Lesiewicz, Andrzej Munk",4756
1652,Billy Liar,GB,1963,John Schlesinger,4426
1653,Verdes Anos,PT,1963,Paulo Rocha,4216
1654,"America, America",US,1963,Elia Kazan,4158
1655,Nippon konchûki,JP,1963,Shôhei Imamura,3457
1656,The Girl Hunters,GB,1963,Roy Rowland,3110
1657,Smrt si říká Engelchen,"CZ, SK",1963,"Ján Kadár, Elmar Klos",3078
1658,A Child Is Waiting,US,1963,John Cassavetes,3050
1659,I basilischi,IT,1963,Lina Wertmüller,2847
1660,Frau Holle,DD,1963,Gottfried Kolditz,2844
1661,Donovan's Reef,US,1963,John Ford,2625
1662,The Cardinal,US,1963,Otto Preminger,2463
1663,The Incredible Journey,US,1963,Fletcher Markle,2383
1664,The Pink Panther,"US, GB",1963,Blake Edwards,2285
1665,Barnvagnen,SE,1963,Bo Widerberg,2191
1666,Adieu Philippine,"FR, IT",1963,Jacques Rozier,2118
1667,Gojuman-nin no isan,JP,1963,Toshirō Mifune,2047
1668,I fidanzati,IT,1963,Ermanno Olmi,1929
1669,Il Segno di Zorro,"ES, IT, FR",1963,Mario Caiano,1603
1670,Postava k podpírání,"CZ, SK",1963,"Pavel Jurácek, Jan Schmidt",1594
1671,Hud,US,1963,Martin Ritt,1555
1672,El otro Cristóbal,"CU, FR",1963,Armand Gatti,1555
1673,I tre volti della paura,"IT, FR, US",1963,Mario Bava,1529
1674,La rimpatriata,"IT, FR",1963,Damiano Damiani,1495
1675,The Raven,US,1963,Roger Corman,1493
1676,The Haunting,US,1963,Robert Wise,1484
1677,Winnetou - 1. Teil,"DE, YU, IT",1963,Harald Reinl,1476
1678,Yukinojô henge,JP,1963,Kon Ichikawa,1439
1679,Konkurs,"CZ, SK",1963,Milos Forman,1408
1680,This Sporting Life,GB,1963,Lindsay Anderson,1291
1681,Un drôle de paroissien,FR,1963,Jean-Pierre Mocky,1275
1682,Karbid und Sauerampfer,DD,1963,Frank Beyer,1197
1683,Shock Corridor,US,1963,Samuel Fuller,951
1684,L'Ape Regina,"IT, FR",1963,Marco Ferreri,933
1685,Transport z raje,"CZ, SK",1963,Zbynek Brynych,926
1686,Il maestro di Vigevano,IT,1963,Elio Petri,921
1687,Yajû no seishun,JP,1963,Seijun Suzuki,814
1688,Kutabare akutô-domo - Tantei jimusho 23,JP,1963,Seijun Suzuki,757
1689,Naděje,"CZ, SK",1963,Karel Kachyňa,753
1690,Días de otoño,MX,1963,Roberto Gavaldón,735
1691,Muriel ou Le temps d'un retour,"FR, IT",1963,Alain Resnais,728
1692,The Nutty Professor,US,1963,Jerry Lewis,707
1693,La ragazza che sapeva troppo,IT,1963,Mario Bava,643
1694,It's a Mad Mad Mad Mad World,US,1963,Stanley Kramer,576
1695,La douceur du village,FR,1963,François Reichenbach,562
1696,Křik,"CZ, SK",1963,Jaromil Jires,549
1697,La ricotta,"IT, FR",1963,Pier Paolo Pasolini,548
1698,Mélodie en sous-sol,"FR, IT",1963,Henri Verneuil,476
1699,Da No Tien Gu,CN,1963,"Wan Laiming, Cheng Tang",452
1700,La cuisine au beurre,"FR, IT",1963,Gilles Grangier,445
1701,D'où viens-tu... Johnny?,FR,1963,Noël Howard,428
1702,Der Zinker,DK,1963,Alfred Vohrer,423
1703,Le petit soldat,FR,1963,Jean-Luc Godard,413
1704,Nunca pasa nada,"ES, FR",1963,Juan Antonio Bardem,398
1705,Marisol rumbo a Río,ES,1963,Fernando Palacios,394
1706,O něčem jiném,"CZ, SK",1963,Vera Chytilová,389
1707,Los Tarantos,ES,1963,Francisco Rovira Beleta,365
1708,Le meurtrier,"FR, DE, IT",1963,Claude Autant-Lara,360
1709,Il giorno più corto,IT,1963,Sergio Corbucci,353
1710,"Hitler, connais pas",FR,1963,Bertrand Blier,341
1711,Shéhérazade,"FR, IT, ES",1963,Pierre Gaspard-Huit,325
1712,La corruzione,"IT, FR",1963,Mauro Bolognini,319
1713,Oldás és kötés,HU,1963,Miklós Jancsó,313
1714,Mourir à Madrid,FR,1963,Frédéric Rossif,309
1715,Organ,"CZ, SK",1963,Štefan Uher,307
1716,Susuz Yaz,TR,1963,Metin Erksan,255
1717,El Gran Show,IT,1963,Mino Loy,251
1718,Keirin shônin gyôjyôki,JP,1963,Shôgorô Nishimura,236
1719,L'aîné des Ferchaux,"FR, IT",1963,Jean-Pierre Melville,231
1720,Ya shagayu po Moskve,SU,1963,Georgiy Daneliya,227
1721,Lilies of the Field,US,1963,Ralph Nelson,219
1722,El juego de la verdad,"FR, ES",1963,José María Forqué,219
1723,Maigret voit rouge,"FR, IT",1963,Gilles Grangier,210
1724,Mici néni két élete,HU,1963,Frigyes Mamcserov,191
1725,The Courtship of Eddie's Father,US,1963,Vincente Minnelli,190
1726,La Tía Tula,ES,1963,Miguel Picazo,173
1727,Nackt unter Wölfen,DD,1963,Frank Beyer,168
1728,"Hanák, Havetta, Jakubisko, pásmo","CZ, SK",1963,"Dusan Hanák, Elo Havetta, Juraj Jakubisko",166
1729,Boxer a smrt,"CZ, SK",1963,Peter Solan,160
1730,Acto da Primavera,PT,1963,Manoel de Oliveira,155
1731,Spanilá jizda,"CZ, SK",1963,Oldrich Danek,149
1732,"L'honorable Stanislas, agent secret","FR, IT",1963,Jean-Charles Dudrumet,145
1733,Los inocentes,"ES, AR",1963,Juan Antonio Bardem,130
1734,Tom Jones,GB,1963,Tony Richardson,129
1735,Carta a una mujer,ES,1963,Miguel Iglesias,114
1736,X,US,1963,Roger Corman,110
1737,Cas jerabin,"CZ, SK",1963,Miroslav Sobota,108
1738,Château en Suède,"FR, IT",1963,Roger Vadim,106
1739,Vacanta la mare,RO,1963,Andrei Calarasu,103
1740,Hlídač dynamitu,"CZ, SK",1963,"Hynek Bocan, Zdenek Sirový",100
1741,Fietsen naar de maan,NL,1963,Jef van der Heyden,99
1742,Vidas Secas,BR,1963,Nelson Pereira dos Santos,96
1743,Lauantaileikit,FI,1963,Maunu Kurkvaara,95
1744,The Wrong Arm of the Law,GB,1963,Cliff Owen,94
1745,Pigen og pressefotografen,DK,1963,Sven Methling,90
1746,Groteszk,HU,1963,Zoltán Huszárik,90
1747,In the Cool of the Day,US,1963,Robert Stevens,88
1748,Dementia 13,US,1963,Francis Ford Coppola,86
1749,Judex,"FR, IT",1963,Georges Franju,84
1750,Neklidnou hladinou,"CZ, SK",1963,Václav Gajer,83
1751,Die endlose Nacht,DE,1963,Will Tremper,77
1752,The Prize,US,1963,Mark Robson,72
1753,Závrat,"CZ, SK",1963,Karel Kachyňa,71
1754,Párbeszéd,HU,1963,János Herskó,68
1755,Streng geheim,DD,1963,János Veiczi,67
1756,"À cause, à cause d'une femme",FR,1963,Michel Deville,62
1757,Bolek i Lolek,PL,1963,"Marian Cholerek, Stanislaw Dulz, Lechoslaw Marszalek, Wladyslaw Nehrebecki, Bronislaw Zeman, Józef Cwiertnia, Waclaw Wajser, Zdzislaw Kudla, Leszek Lorek, Alfred Ledwig, Romuald Klys, Józef Byrdy, Ryszard Lepióra, Edward Wator",60
1758,Igézet,HU,1963,István Bácskai Lauro,60
1759,4 for Texas,US,1963,Robert Aldrich,51
1760,Las Gemelas,ES,1963,Antonio del Amo,49
1761,Støvsugerbanden,DK,1963,Bent Christensen,47
1762,Pássaros de Asas Cortadas,PT,1963,Artur Ramos,43
1763,Bylo nás deset,"CZ, SK",1963,Antonín Kachlík,41
1764,Miénk a világ,HU,1963,Ferenc Kardos,40
1765,Na laně,"CZ, SK",1963,Ivo Novák,40
1766,Kedd,HU,1963,Márk Novák,35
1767,Les carabiniers,"FR, IT",1963,Jean-Luc Godard,34
1768,Jánosík,"CZ, SK",1963,Palo Bielik,33
1769,Ensayo general para la muerte,ES,1963,Julio Coll,33
1770,Tri zlaté vlasy deda Vseveda,"CZ, SK",1963,Ján Valásek,32
1771,Fun in Acapulco,US,1963,Richard Thorpe,32
1772,Il demonio,"IT, FR",1963,Brunello Rondi,31
1773,Auto de Floripes,PT,1963,António Lopes Fernandes,30
1774,Los farsantes,ES,1963,Mario Camus,28
1775,Rififí en la ciudad,"ES, FR",1963,Jesus Franco,26
1776,Holnaptól kezdve,HU,1963,József Nepp,25
1777,Murder at the Gallop,GB,1963,George Pollock,19
1778,La máscara de Scaramouche,ES,1963,Antonio Isasi-Isasmendi,19
1779,Hallelujah the Hills,US,1963,Adolfas Mekas,17
1780,A Monológ,HU,1963,György Kovásznai,17
1781,Prázdniny s Minkou,"CZ, SK",1963,Josef Pinkava,16
1782,Találkozás,HU,1963,Judit Elek,16
1783,Okurkový hrdina,"CZ, SK",1963,Cestmír Mlíkovsky,14
1784,Ganga Zumba,BR,1963,Carlos Diegues,11
1785,Zbrodniarz i panna,PL,1963,Janusz Nasfeter,10
1786,Mykoin PH 510,"CZ, SK",1963,Jirí Lehovec,10
1787,La belle vie,FR,1963,Robert Enrico,9
1788,Dióbél királyfi,HU,1963,Attila Dargay,8
1789,Prselo jim stesti,"CZ, SK",1963,Antonín Kachlík,7
1790,Pouic-Pouic,FR,1963,Jean Girault,7
1791,Jak byc kochana,PL,1963,Wojciech Has,4
1792,Opus jazz,PL,1963,Janusz Majewski,2
1793,"Hogy állunk, fiatalember?",HU,1963,György Révész,2
1794,Fotó Háber,HU,1963,Zoltán Várkonyi,2
1795,The Beast of Babylon Against the Son of Hercules,"IT, FR",1963,Siro Marcellini,2
1796,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"US, GB",1964,Stanley Kubrick,230224
1797,A Hard Day's Night,GB,1964,Richard Lester,162468
1798,L'homme de Rio,"IT, FR",1964,Philippe de Broca,157585
1799,Per un pugno di dollari,"IT, ES, DE",1964,Sergio Leone,118190
1800,Amintiri din copilarie,RO,1964,Elisabeta Bostan,111988
1801,Les parapluies de Cherbourg,FR,1964,Jacques Demy,73499
1802,Il Vangelo secondo Matteo,"IT, FR",1964,Pier Paolo Pasolini,71631
1803,Soy Cuba,"CU, SU",1964,Mikhail Kalatozov,56565
1804,Il giovedì,IT,1964,Dino Risi,34176
1805,Matrimonio all'italiana,IT,1964,Vittorio De Sica,26451
1806,Kapr,"CZ, SK",1964,Jiří Hanibal,23000
1807,Goldfinger,GB,1964,Guy Hamilton,22123
1808,Bande à part,FR,1964,Jean-Luc Godard,20596
1809,Marnie,US,1964,Alfred Hitchcock,19786
1810,Il deserto rosso,"IT, FR",1964,Michelangelo Antonioni,18199
1811,Le journal d'une femme de chambre,FR,1964,Luis Buñuel,17954
1812,Mary Poppins,US,1964,Robert Stevenson,17529
1813,Charulata,IN,1964,Satyajit Ray,16704
1814,Tini zabutykh predkiv,SU,1964,Sergei Parajanov,16266
1815,Gertrud,DK,1964,Carl Theodor Dreyer,13942
1816,Suna no onna,JP,1964,Hiroshi Teshigahara,13719
1817,Paskutine atostogu diena,SU,1964,Arunas Zebriunas,12566
1818,Alexis Zorbas,"US, GR",1964,Michael Cacoyannis,11532
1819,Midareru,JP,1964,Mikio Naruse,10975
1820,Prima della rivoluzione,IT,1964,Bernardo Bertolucci,10054
1821,Padurea spînzuratilor,RO,1964,Liviu Ciulei,9770
1822,My Fair Lady,US,1964,George Cukor,8615
1823,The Killers,US,1964,Don Siegel,8523
1824,Limonádový Joe aneb Koňská opera,"CZ, SK",1964,Oldrich Lipský,8380
1825,Černý Petr,"CZ, SK",1964,Milos Forman,8241
1826,Nothing But a Man,US,1964,Michael Roemer,7807
1827,Cheyenne Autumn,US,1964,John Ford,7769
1828,"Tjorven, Båtsman och Moses",SE,1964,Olle Hellbom,7637
1829,Sedotta e abbandonata,"IT, FR",1964,Pietro Germi,7629
1830,Manji,JP,1964,Yasuzo Masumura,7602
1831,Un gosse de la butte,FR,1964,Maurice Delbez,7237
1832,Démanty noci,"CZ, SK",1964,Jan Nemec,7112
1833,Se permettete parliamo di donne,"IT, FR",1964,Ettore Scola,6602
1834,The Night of the Iguana,US,1964,John Huston,6152
1835,La peau douce,"FR, PT",1964,François Truffaut,5777
1836,Man's Favorite Sport?,US,1964,Howard Hawks,5759
1837,Kawaita hana,JP,1964,Masahiro Shinoda,5400
1838,Sex and the Single Girl,US,1964,Richard Quine,5292
1839,Atentát,"CZ, SK",1964,Jirí Sequens,5165
1840,Starci na chmelu,"CZ, SK",1964,Ladislav Rychman,4709
1841,Comizi d'amore,IT,1964,Pier Paolo Pasolini,4500
1842,A Shot in the Dark,GB,1964,Blake Edwards,4420
1843,Neamul Soimarestilor,RO,1964,Mircea Dragan,3550
1844,"Kiss me, Stupid",US,1964,Billy Wilder,3376
1845,Sei donne per l'assassino,"IT, MC, FR",1964,Mario Bava,3269
1846,L'insoumis,"FR, IT",1964,Alain Cavalier,3110
1847,Une femme mariée: Suite de fragments d'un film tourné en 1964,FR,1964,Jean-Luc Godard,2846
1848,The Pawnbroker,US,1964,Sidney Lumet,2633
1849,Le gendarme de Saint-Tropez,"FR, IT",1964,Jean Girault,2301
1850,Lütt Matten und die weiße Muschel,DD,1964,Herrmann Zschoche,2112
1851,Siamo Italiani,CH,1964,"Alexander J. Seiler, Rob Gnant, June Kovach",2039
1852,The Train,"FR, IT, US",1964,John Frankenheimer,2029
1853,Der geteilte Himmel,DD,1964,Konrad Wolf,1893
1854,Die goldene Gans,DD,1964,Siegfried Hartmann,1856
1855,Deus e o Diabo na Terra do Sol,BR,1964,Glauber Rocha,1851
1856,El camino,ES,1964,Ana Mariscal,1596
